"","Row.names","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Average","WC.Average","Tail","Strategy"
"1","Tyrannus_albogularis",0.0521770319272821,0.0620657905309286,0.0539176182871095,0.0347847499138717,0.0733531743610333,0.0418096526053624,0.041951476206318,"migratory"
"2","Tyrannus_caudifasciatus_bahamensis",0.0228401202640942,0.0443495188446399,0.0631349115071852,0.0227102487530575,0.0907513734077715,0.0411597243445697,0.0383890005140603,"sedentary"
"3","Tyrannus_caudifasciatus_caudifasciatus",0.13120285587416,0.103050867905399,0.0461692321356252,0.0355546454132085,0.0779902579393592,0.0233540269665554,0.0354908413078603,"sedentary"
"4","Tyrannus_caudifasciatus_caymanensis",0.0247752822868365,0.0379731875983011,0.0937705880328574,0.0289217451805844,0.0702674196579423,0.00829657887939453,0.0495066956095725,"sedentary"
"5","Tyrannus_caudifasciatus_flavescens",0.025954429687059,0.0250312215844463,0.0194270903993981,0.0163815995660403,0.0633782384147528,0.0318185138438085,0.0355054370864804,"sedentary"
"6","Tyrannus_caudifasciatus_gabbii",0.034581558208834,0.0426889010068698,0.0617615188076623,0.0298774833759633,0.0771700150451983,0.0354172135082353,0.0201131205460826,"sedentary"
"7","Tyrannus_caudifasciatus_jamaicensis",0.0442157632404936,0.00857653879826675,0.0650819732445671,0.0165301906893559,0.119321135340141,0.032027745911611,0.0395887849318818,"sedentary"
"8","Tyrannus_caudifasciatus_taylori",0.0421614519982883,0.0462841490645476,0.0352325177061825,0.0284434948827122,0.0757302569156345,0.029394157167744,0.0213634405025073,"sedentary"
"9","Tyrannus_couchii",0.136590002679567,0.101119159609218,0.0599380436441936,0.0473038755069422,0.066378006202233,0.0364952247859618,0.0531397003372194,"partial"
"10","Tyrannus_crassirostris_crassirostris",0.0551380143217694,0.0414529774805567,0.0247282269060997,0.029659190746289,0.0975680230657184,0.0398779350427365,0.035068378611935,"migratory"
"11","Tyrannus_crassirostris_pompalis",0.0487270395421895,0.0696934173322381,0.043354684926556,0.0336614160302896,0.075780181378067,0.0248556040124591,0.0337841859569876,"migratory"
"12","Tyrannus_cubensis",0.0265806999470024,0.0341976946137193,0.0398963765625038,0.037946142229635,0.0878179430314992,0.0226631026864101,0.0499780532330714,"sedentary"
"13","Tyrannus_dominicensis_dominicensis",0.0484626147531251,0.0452734328740351,0.0601626381537296,0.0282435383747994,0.0780981455600219,0.034243786021738,0.0370677924176475,"migratory"
"14","Tyrannus_dominicensis_vorax",0.0439893777890213,0.0487807108066251,0.0568484629963651,0.0398988021671508,0.0597241282931478,0.0286100265574522,0.0292548681226352,"sedentary"
"15","Tyrannus_forficatus",0.0491069810286961,0.0504965608313029,0.0471897237105117,0.0429105605814643,0.108661510705064,0.0413924357516407,0.162638956259424,"migratory"
"16","Tyrannus_melancholicus_despotes",0.0647320755538798,0.0658078209248123,0.079579311500259,0.0615371157727753,0.0208894357067638,0.0306829603166187,0.0256443934192927,"sedentary"
"17","Tyrannus_melancholicus_melancholicus",0.0765190420437699,0.0620936177977537,0.0818492019333248,0.0459714679913118,0.0786365223948603,0.027049635370786,0.0383168140400005,"partial"
"18","Tyrannus_melancholicus_satrapa",0.059008095242418,0.0453569297367598,0.0516518159130256,0.0475617529144474,0.0719272601526035,0.0377157557048155,0.0435466472315806,"partial"
"19","Tyrannus_niveigularis",0.0266019950226957,0.0405977336371702,0.0546151787220551,0.0476977345990172,0.0742911542699356,0.0340023802041091,0.0261684827187195,"partial"
"20","Tyrannus_savana_circumdatus",0.0650648226349325,0.0590831468541293,0.0427118402899971,0.0249749450068394,0.0678213792651815,0.0191247117583617,0.0858269195154577,"sedentary"
"21","Tyrannus_savana_monachus_CA",0.0412456140823599,0.0459776396836643,0.0519368982738153,0.0368492187675079,0.0772853967381207,0.0374144836382202,0.191808408764791,"sedentary"
"22","Tyrannus_savana_monachus_SA",0.0681537817074471,0.070437907911443,0.0612435750282888,0.0328027237489934,0.076312745340146,0.0372998239235265,0.200584433841472,"sedentary"
"23","Tyrannus_savana_sanctaemartae",0.0361690598772,0.0370652205980597,0.0529679146045528,0.0478273478888724,0.0242944830927387,0.0150753768844221,NA,"sedentary"
"24","Tyrannus_savana_savana",0.0577606944299802,0.0816317070892345,0.0733615828568963,0.0653932958234401,0.0601351046129131,0.164892954678024,0.17351058912787,"migratory"
"25","Tyrannus_tyrannus",0.0612860067405155,0.0607699326329059,0.0582334020045314,0.042562773675477,0.0770802477239216,0.0382373529638083,0.0598073760141923,"migratory"
"26","Tyrannus_verticalis",0.0696695325538555,0.0590885564430691,0.0657021700667554,0.0378024467695048,0.073673680262108,0.0364222377967792,0.0361195513940229,"migratory"
"27","Tyrannus_vociferans_vociferans",0.0542718651015856,0.0486927477310097,0.0543559898066434,0.0379667240509787,0.0775016597649578,0.0344102808501069,0.0322964797189154,"partial"
"28","Tyrannus_vociferans_xenopterus",0.0368976101967937,0.0236523358233658,0.0589067720621711,0.027460310074408,0.0842341242057287,0.0153745113852147,0.0249622486190382,"sedentary"
