"","Row.names","beta","lambda","logL","resid","BL","BW","BD","KD","WC","TL","y","migration"
"1","Tyrannus_albogularis",-10.9282684371549,0.946218370206032,-50.1293570575262,1.27243774741562,1.27243774741562,1.0483580894266,0.461082285740384,-3.30378844706228,-1.7746768986088,-32.318713990453,"migratory","migratory"
"2","Tyrannus_caudifasciatus_bahamensis",-10.9282684371549,0.946218370206032,-50.1293570575262,0.042867796739408,0.042867796739408,-2.00203332078135,-1.41231534631985,-6.84013070986449,-13.2396802266145,-28.4624650941651,"sedentary","sedentary"
"3","Tyrannus_caudifasciatus_caudifasciatus",-10.9282684371549,0.946218370206032,-50.1293570575262,-0.946009420846668,-0.946009420846668,-2.56465687956549,-1.86345869247431,-9.36386708317672,-17.8135756704417,-27.5322430739176,"sedentary","sedentary"
"4","Tyrannus_caudifasciatus_caymanensis",-10.9282684371549,0.946218370206032,-50.1293570575262,0.255113361567258,0.255113361567258,-2.50728043834963,-1.99460203862877,-10.1576034564889,-19.807471114269,-25.4920210536701,"sedentary","sedentary"
"5","Tyrannus_caudifasciatus_flavescens",1.39625739195358,0.946218370206032,-50.1293570575262,-0.312421107731772,-0.312421107731772,-2.9756949080113,-1.92970613221768,-8.14416374629556,-16.1701473410384,-28.1493244813417,"sedentary","sedentary"
"6","Tyrannus_caudifasciatus_gabbii",-10.9282684371549,0.946218370206032,-50.1293570575262,-0.440500550502371,-0.440500550502371,-1.49416264442892,-1.60888530785648,-9.49892158992782,-12.1379938951327,-34.5031311549075,"sedentary","sedentary"
"7","Tyrannus_caudifasciatus_taylori",1.39625739195358,0.946218370206032,-50.1293570575262,-1.75755571727142,-1.75755571727142,-2.29706366274259,-1.881327298887,-7.64702136398187,-11.3770275976232,-17.1283623936027,"sedentary","sedentary"
"8","Tyrannus_couchii",-10.9282684371549,0.946218370206032,-50.1293570575262,0.495586128784289,0.495586128784289,1.25365476516756,0.500469648557002,0.744089976183229,5.32852210902429,-23.0803004615441,"partial","partial"
"9","Tyrannus_crassirostris_crassirostris",-10.9282684371549,0.946218370206032,-50.1293570575262,2.66084219778467,2.66084219778467,2.62004644469355,2.57715394470907,4.88825449357778,13.1532253219252,-20.2906566028265,"migratory","migratory"
"10","Tyrannus_crassirostris_pompalis",1.39625739195358,0.946218370206032,-50.1293570575262,2.09460122356649,2.09460122356649,2.10993620259839,2.49202936906709,6.58406750872196,14.0931224599292,-19.9213087711054,"migratory","migratory"
"11","Tyrannus_cubensis",1.39625739195358,0.946218370206032,-50.1293570575262,4.70302209167094,4.70302209167094,2.19025951171733,2.10345427290865,1.63104470888028,5.27390663122466,-16.5946436192494,"sedentary","sedentary"
"12","Tyrannus_dominicensis_dominicensis",-10.9282684371549,0.946218370206032,-50.1293570575262,5.07730313787597,5.07730313787597,2.38698933469532,1.88946111907107,1.82335393525141,3.32844284480639,-32.497751902714,"migratory","migratory"
"13","Tyrannus_dominicensis_vorax",1.39625739195358,0.946218370206032,-50.1293570575262,6.54143642446243,6.54143642446243,3.39600457300545,2.04728876137759,0.28125482595819,3.19704150153458,-26.9083300642438,"sedentary","sedentary"
"14","Tyrannus_forficatus",1.39625739195358,0.946218370206032,-50.1293570575262,-2.00948280981378,-2.00948280981378,-0.853174174155781,-0.479738538620813,10.12096939657,8.15316965548548,38.1950926831128,"migratory","migratory"
"15","Tyrannus_melancholicus_despotes",1.39625739195358,0.946218370206032,-50.1293570575262,3.60847517349609,3.60847517349609,2.08027063746713,1.33437750753523,-2.22557965950602,0.433193253263639,-32.2217065897781,"sedentary","sedentary"
"16","Tyrannus_melancholicus_melancholicus",-10.9282684371549,0.946218370206032,-50.1293570575262,2.84864588616301,2.84864588616301,1.59119842381779,1.17550037163662,-0.809469981242991,4.69966206186426,-27.845277350633,"partial","partial"
"17","Tyrannus_melancholicus_satrapa",-10.9282684371549,0.946218370206032,-50.1293570575262,1.58068790285315,1.58068790285315,1.04775361219488,0.261384325480566,-2.89292092516699,0.109638464086075,-27.6384780777421,"partial","partial"
"18","Tyrannus_niveigularis",1.39625739195358,0.946218370206032,-50.1293570575262,0.142421329680225,0.142421329680225,0.649723135574616,-0.0642709591324921,-6.07872270658054,-4.2375588493703,-41.4073217546825,"partial","partial"
"19","Tyrannus_savana_circumdatus",1.39625739195358,0.946218370206032,-50.1293570575262,-2.01227334811319,-2.01227334811319,-1.24798032334344,-0.901526928361792,0.510244589368792,-3.59420978418484,62.2981453967236,"sedentary","sedentary"
"20","Tyrannus_savana_monachus_CA",-10.9282684371549,0.946218370206032,-50.1293570575262,-2.51171195690623,-2.51171195690623,-0.899292102735512,-0.782098601439022,-0.246623597287318,-6.67615750609849,65.2132564068473,"sedentary","sedentary"
"21","Tyrannus_savana_monachus_SA",1.39625739195358,0.946218370206032,-50.1293570575262,-1.55754583484898,-1.55754583484898,-0.90300695672141,-0.353564469386739,1.51114581245598,-1.86179494784729,71.1098937737765,"sedentary","sedentary"
"22","Tyrannus_savana_savana",1.39625739195358,0.946218370206032,-50.1293570575262,-2.71115056569927,-2.71115056569927,-1.19060388212758,-0.78267027451625,3.46650821605657,-0.468105228012121,68.6583674169711,"migratory","migratory"
"23","Tyrannus_tyrannus",1.39625739195358,0.946218370206032,-50.1293570575262,-1.68155766197471,-1.68155766197471,-0.476999270236838,-0.246328982210517,5.92455182145746,5.76742935174062,-38.708922118237,"migratory","migratory"
