"","Row.names","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Average","WC.Average","Tail","Strategy"
"1","Tyrannus_albogularis",0.045828272540472,0.0467936089825532,0.0576784412994342,0.0491582337709896,0.0437546387886066,0.037032204471052,0.0500380523243644,"migratory"
"2","Tyrannus_caudifasciatus_bahamensis",0.0512883572790252,0.0459856612126104,0.043313236455092,0.0134651693899253,0.0480677823423303,0.0227119662900449,0.0301983812653876,"sedentary"
"3","Tyrannus_caudifasciatus_caudifasciatus",0.0945814622242398,0.0848313707443867,0.0730326774574792,0.0297492742867024,0.0849079901707269,0.0200304083015347,0.028204489460335,"sedentary"
"4","Tyrannus_caudifasciatus_caymanensis",0.0441643862477448,0.0238727481755336,0.028169419104694,0.0284698603942,0.0884947894341752,0.0245859841246753,0.0367935635665773,"sedentary"
"5","Tyrannus_caudifasciatus_flavescens",0.0389765864335731,0.0262609991513178,0.0420749823688827,0.0155778310691925,0.0285354193253705,0.0226628322141826,0.0232620028457622,"sedentary"
"6","Tyrannus_caudifasciatus_gabbii",0.0364299911032008,0.0466069565614342,0.0472296570262105,0.035425028715876,0.049246537801032,0.035212320530447,0.0309270607115057,"sedentary"
"7","Tyrannus_caudifasciatus_jamaicensis",0.0794338420046909,0.0464314811546862,0.0763485881340008,0.0242354243769558,0.0749962536116812,0.0330565059322788,0.0501298634050871,"sedentary"
"8","Tyrannus_caudifasciatus_taylori",0.0419479860743934,0.056784089870559,0.0428358604829643,0.0311633671202763,0.0587103778622087,0.0285292000585556,0.0265961982950936,"sedentary"
"9","Tyrannus_couchii",0.0857105908496869,0.0658220925180003,0.0557188202636002,0.031749583688595,0.092665318436932,0.0502214969081559,0.0552980941524464,"partial"
"10","Tyrannus_crassirostris_crassirostris",0.0508314906081469,0.0484753996687455,0.0449503379894114,0.0432249733232107,0.0944621122389031,0.0448455219648237,0.0380011592054036,"migratory"
"11","Tyrannus_crassirostris_pompalis",0.0404934313571668,0.0473019230910368,0.0472724776798321,0.0393252628049425,0.0974295437563425,0.0287265423303827,0.0376479593857773,"migratory"
"12","Tyrannus_cubensis",0.0314389693113103,0.0269754848573901,0.0403200853189831,0.0260318357970713,0.0536814260014658,0.0263175343441737,0.0534968123164406,"sedentary"
"13","Tyrannus_dominicensis_dominicensis",0.0551927758353904,0.0496607680570169,0.0614687239233601,0.0334902099753788,0.0731091547915568,0.0318305121866102,0.039593774618332,"migratory"
"14","Tyrannus_dominicensis_vorax",0.0585932321535598,0.0551584643565424,0.0680123155711721,0.0310281081967446,0.0869851803363158,0.0369912940415318,0.0507768326103778,"sedentary"
"15","Tyrannus_forficatus",0.0395504276062928,0.0450924301082705,0.0553808711559892,0.0365179900165897,0.115428794959133,0.0410753095357818,0.210906748885993,"migratory"
"16","Tyrannus_melancholicus_despotes",0.0399331251270209,0.0509237922749165,0.0664726519733366,0.0522740968648251,0.0775123580287189,0.102474803802118,0.0315208560120779,"sedentary"
"17","Tyrannus_melancholicus_melancholicus",0.0755478612196543,0.0497039544803701,0.0812222606198213,0.03889192704236,0.0829637840523724,0.034012934322253,0.0543759481945875,"partial"
"18","Tyrannus_melancholicus_satrapa",0.0612564107980913,0.0646408117198235,0.0522078997515798,0.0464341997242082,0.0740134205962672,0.0337702634068229,0.0477917682063902,"partial"
"19","Tyrannus_niveigularis",0.0420494724619113,0.0639781169373986,0.0499278550506636,0.0425907250207773,0.0834372096201004,0.0369299791571758,0.0328822170200434,"partial"
"20","Tyrannus_savana_circumdatus",0.0373454214704659,0.0407740150218765,0.0496841870358882,0.019579994964122,0.0962021032554277,0.0377805233520098,0.0953001303787161,"sedentary"
"21","Tyrannus_savana_monachus_CA",0.0431153477391715,0.0474317980642611,0.0683579000251627,0.0401433655637045,0.0555675268791599,0.0334004012334329,0.100882214415433,"sedentary"
"22","Tyrannus_savana_monachus_SA",0.0526545106920419,0.0631013710258156,0.060034458863157,0.0421272398117895,0.065075574009563,0.173496558108527,0.181205050361584,"sedentary"
"23","Tyrannus_savana_sanctaemartae",0.021615082128893,0.0305361848052835,0.0371528134114021,0.025086137589108,0.087648092046506,0.0434367364450791,0.204758483851198,"sedentary"
"24","Tyrannus_savana_savana",0.0610313500545866,0.0780422666771635,0.0842686022058782,0.0497896904774258,0.113664593602307,0.0569796254887495,0.242442375465202,"migratory"
"25","Tyrannus_tyrannus",0.0459241435277367,0.115483305755485,0.0674312682723922,0.0357357974233876,0.0714093306232046,0.0419303167964725,0.0494701354490994,"migratory"
"26","Tyrannus_verticalis",0.0713855471226267,0.0559276272257463,0.0721014945974853,0.040875924797917,0.0821647095122286,0.0341582514725127,0.0434148203065235,"migratory"
"27","Tyrannus_vociferans_vociferans",0.0781751598668632,0.0655111809246889,0.078341339366817,0.0350177790500982,0.0771295939236241,0.105944574909976,0.0400199184781127,"partial"
"28","Tyrannus_vociferans_xenopterus",0.0596210562155482,0.0581032794848547,0.0517428222578552,0.0336244270952443,0.113785014311127,0.0534512926715404,0.0408891113093317,"sedentary"
