"","X","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Average","WC.Average","Tail","Strategy","CVBillPC1","CVBillPC2","CVBodyPC1","CVBodyPC2"
"Tyrannus_albogularis",1,0.045828272540472,0.0467936089825532,0.0576784412994342,0.0491582337709896,0.0437546387886066,0.037032204471052,0.0500380523243644,"migratory",17.4498062760051,4.53693296988572,116.999579146619,84.8192918567485
"Tyrannus_caudifasciatus_bahamensis",2,0.0512883572790252,0.0459856612126104,0.043313236455092,0.0134651693899253,0.0480677823423303,0.0227119662900449,0.0301983812653876,"sedentary",21.7123995201095,7.28380444932333,107.607666530324,88.4854266402285
"Tyrannus_caudifasciatus_caudifasciatus",3,0.0945814622242398,0.0848313707443867,0.0730326774574792,0.0297492742867024,0.0849079901707269,0.0200304083015347,0.028204489460335,"sedentary",20.6769714742777,7.15180055335921,106.9633597134,84.2573242327794
"Tyrannus_caudifasciatus_caymanensis",4,0.0441643862477448,0.0238727481755336,0.028169419104694,0.0284698603942,0.0884947894341752,0.0245859841246753,0.0367935635665773,"sedentary",22.5424674986832,8.24312879689948,109.167266991709,83.3089406289078
"Tyrannus_caudifasciatus_flavescens",5,0.0389765864335731,0.0262609991513178,0.0420749823688827,0.0155778310691925,0.0285354193253705,0.0226628322141826,0.0232620028457622,"sedentary",20.7753598787689,7.79052687943051,105.301816630965,86.0598235482074
"Tyrannus_caudifasciatus_gabbii",6,0.0364299911032008,0.0466069565614342,0.0472296570262105,0.035425028715876,0.049246537801032,0.035212320530447,0.0309270607115057,"sedentary",19.6417181083949,6.43071494837894,102.268802686232,84.0523737241656
"Tyrannus_caudifasciatus_jamaicensis",7,0.0794338420046909,0.0464314811546862,0.0763485881340008,0.0242354243769558,0.0749962536116812,0.0330565059322788,0.0501298634050871,"sedentary",20.9955538406912,7.22543824794993,104.019010531664,80.0511790578815
"Tyrannus_caudifasciatus_taylori",8,0.0419479860743934,0.056784089870559,0.0428358604829643,0.0311633671202763,0.0587103778622087,0.0285292000585556,0.0265961982950936,"sedentary",22.2182993636174,7.13679709489177,114.802318731382,91.6177322291512
"Tyrannus_couchii",9,0.0857105908496869,0.0658220925180003,0.0557188202636002,0.031749583688595,0.092665318436932,0.0502214969081559,0.0552980941524464,"partial",19.9973711065548,4.43774746073294,118.564452049847,93.0932762095382
"Tyrannus_crassirostris_crassirostris",10,0.0508314906081469,0.0484753996687455,0.0449503379894114,0.0432249733232107,0.0944621122389031,0.0448455219648237,0.0380011592054036,"migratory",24.1685124264209,5.01549835689169,126.613188619602,105.773244733202
"Tyrannus_crassirostris_pompalis",11,0.0404934313571668,0.0473019230910368,0.0472724776798321,0.0393252628049425,0.0974295437563425,0.0287265423303827,0.0376479593857773,"migratory",24.8811336190069,5.75056618850352,123.285435224831,105.315974444736
"Tyrannus_cubensis",12,0.0314389693113103,0.0269754848573901,0.0403200853189831,0.0260318357970713,0.0536814260014658,0.0263175343441737,0.0534968123164406,"sedentary",29.8804152254675,8.35983120678003,124.907131575444,106.298181300796
"Tyrannus_dominicensis_dominicensis",13,0.0551927758353904,0.0496607680570169,0.0614687239233601,0.0334902099753788,0.0731091547915568,0.0318305121866102,0.039593774618332,"migratory",23.3355358589409,6.61553311733666,111.226581145042,90.7767814552109
"Tyrannus_dominicensis_vorax",14,0.0585932321535598,0.0551584643565424,0.0680123155711721,0.0310281081967446,0.0869851803363158,0.0369912940415318,0.0507768326103778,"sedentary",25.9205279621441,6.87324028851701,113.292064958378,93.0202479509099
"Tyrannus_forficatus",15,0.0395504276062928,0.0450924301082705,0.0553808711559892,0.0365179900165897,0.115428794959133,0.0410753095357818,0.210906748885993,"migratory",15.9311177128932,4.17965793182661,227.662042873398,78.5945582633747
"Tyrannus_melancholicus_despotes",16,0.0399331251270209,0.0509237922749165,0.0664726519733366,0.0522740968648251,0.0775123580287189,0.102474803802118,0.0315208560120779,"sedentary",20.3326324338213,5.40736110921903,117.470581024752,90.4480978190253
"Tyrannus_melancholicus_melancholicus",17,0.0755478612196543,0.0497039544803701,0.0812222606198213,0.03889192704236,0.0829637840523724,0.034012934322253,0.0543759481945875,"partial",20.2041165704031,5.38092418779676,116.957813916865,90.9462111560247
"Tyrannus_melancholicus_satrapa",18,0.0612564107980913,0.0646408117198235,0.0522078997515798,0.0464341997242082,0.0740134205962672,0.0337702634068229,0.0477917682063902,"partial",20.2707582841044,5.26486251215203,115.662239483242,90.0461579365447
"Tyrannus_niveigularis",19,0.0420494724619113,0.0639781169373986,0.0499278550506636,0.0425907250207773,0.0834372096201004,0.0369299791571758,0.0328822170200434,"partial",17.0738110216335,4.11426080118964,98.0106393041858,82.585002113819
"Tyrannus_savana_circumdatus",20,0.0373454214704659,0.0407740150218765,0.0496841870358882,0.019579994964122,0.0962021032554277,0.0377805233520098,0.0953001303787161,"sedentary",13.8477174919022,4.09928199408279,247.842700797815,60.3202638429806
"Tyrannus_savana_monachus_CA",21,0.0431153477391715,0.0474317980642611,0.0683579000251627,0.0401433655637045,0.0555675268791599,0.0334004012334329,0.100882214415433,"sedentary",13.2306263943143,3.41491271555628,293.255148634844,52.3933423241785
"Tyrannus_savana_monachus_SA",22,0.0526545106920419,0.0631013710258156,0.060034458863157,0.0421272398117895,0.065075574009563,0.173496558108527,0.181205050361584,"sedentary",13.5758045198334,3.7458789064784,274.316857362224,54.1899437992494
"Tyrannus_savana_sanctaemartae",23,0.021615082128893,0.0305361848052835,0.0371528134114021,0.025086137589108,0.087648092046506,0.0434367364450791,0.204758483851198,"sedentary",13.5441139189062,4.14476559743154,280.285711504612,54.7957347482554
"Tyrannus_savana_savana",24,0.0610313500545866,0.0780422666771635,0.0842686022058782,0.0497896904774258,0.113664593602307,0.0569796254887495,0.242442375465202,"migratory",13.2835949058414,3.23123851817835,234.140618678379,65.3109789027832
"Tyrannus_tyrannus",25,0.0459241435277367,0.115483305755485,0.0674312682723922,0.0357357974233876,0.0714093306232046,0.0419303167964725,0.0494701354490994,"migratory",16.41770925844,3.95638094776812,105.134845277125,94.6817714123487
"Tyrannus_verticalis",26,0.0713855471226267,0.0559276272257463,0.0721014945974853,0.040875924797917,0.0821647095122286,0.0341582514725127,0.0434148203065235,"migratory",15.9241497620741,3.9892333330694,117.570295139251,101.755454642744
"Tyrannus_vociferans_vociferans",27,0.0781751598668632,0.0655111809246889,0.078341339366817,0.0350177790500982,0.0771295939236241,0.105944574909976,0.0400199184781127,"partial",17.6055700965025,4.45780650572188,118.3195435225,106.098530464201
"Tyrannus_vociferans_xenopterus",28,0.0596210562155482,0.0581032794848547,0.0517428222578552,0.0336244270952443,0.113785014311127,0.0534512926715404,0.0408891113093317,"sedentary",17.1642087922097,4.55213787551077,120.641506024556,105.481487989012
