"","Row.names","beta","lambda","logL","resid","BL","BW","BD","KD","WC","TL","y","migration"
"1","Tyrannus_albogularis",-10.0353883598005,0.970573022099817,-50.2101718047392,1.34051037336019,1.34051037336019,0.876800913949459,0.394847736828898,-3.55317464873377,-0.835839754611641,-40.3812561227683,"migratory","migratory"
"2","Tyrannus_caudifasciatus_bahamensis",-10.0353883598005,0.970573022099817,-50.2101718047392,-0.0824004841974073,-0.0824004841974073,-1.54441346889953,-1.40437746550667,-7.41985113197452,-15.0186889557251,-42.7981845125071,"sedentary","sedentary"
"3","Tyrannus_caudifasciatus_caudifasciatus",-10.0353883598005,0.970573022099817,-50.2101718047392,-0.977791309950863,-0.977791309950863,-2.14684295132739,-1.85706542503321,-9.25114127065904,-19.5556834183608,-41.8047094202317,"sedentary","sedentary"
"4","Tyrannus_caudifasciatus_caymanensis",-10.0353883598005,0.970573022099817,-50.2101718047392,1.02441893468384,1.02441893468384,-1.71068242683319,-1.75887541660124,-10.9176600495516,-20.5121405980766,-39.394402109341,"sedentary","sedentary"
"5","Tyrannus_caudifasciatus_flavescens",1.35579510730605,0.970573022099817,-50.2101718047392,-0.669139016389224,-0.669139016389224,-2.66745032193435,-1.99523741491485,-9.21896380533017,-18.9374320340198,-43.4463406471628,"sedentary","sedentary"
"6","Tyrannus_caudifasciatus_gabbii",-10.0353883598005,0.970573022099817,-50.2101718047392,-0.0685191382611841,-0.0685191382611841,-1.12397973514168,-1.40914569485628,-9.96254034609557,-14.4090536674557,-47.9745433687344,"sedentary","sedentary"
"7","Tyrannus_caudifasciatus_jamaicensis",1.35579510730605,0.970573022099817,-50.2101718047392,1.26059141194419,1.26059141194419,-1.40339397954962,-1.45081153802162,-8.74378963349809,-19.3211572101693,-42.1248273861672,"sedentary","sedentary"
"8","Tyrannus_caudifasciatus_taylori",1.35579510730605,0.970573022099817,-50.2101718047392,-1.64272387906057,-1.64272387906057,-1.84807930755622,-1.89324723784346,-8.22585816207494,-14.1130328080513,-33.9498871184579,"sedentary","sedentary"
"9","Tyrannus_couchii",-10.0353883598005,0.970573022099817,-50.2101718047392,0.403825816259516,0.403825816259516,1.28059715942545,0.486982062302967,-0.884799513988451,3.70291310835898,-35.4353939223869,"partial","partial"
"10","Tyrannus_crassirostris_crassirostris",-10.0353883598005,0.970573022099817,-50.2101718047392,2.4085158771955,2.4085158771955,2.85886186602912,2.62893620227368,3.80698875639425,11.5637239250769,-33.4662925616011,"migratory","migratory"
