"","X","Species","subspecies","Mig_Sed","HowAssignedMig_Sed","Specimen..","Measurer","Collection","Collection.Year","Collection.Month","Collection.Day","Country","State.province","County.District","Locality","Elevation","Latitude","Longitude","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Average","WC.Average","Tail","Age","Sex","trinomial","tip.label"
"1",8,"Tyrannus_savana","sanctaemartae","sedentary","taxonomy","97046","Nacho","American Museum of tural History","1898",9,9,"Colombia","","","Ciega de Santa Marta","",11.26688,-74.1925,11.9,6.1,5.5,17.25,NA,NA,NA,"Adult","Male","Tyrannus savana sanctaemartae","Tyrannus_savana_sanctaemartae"
"2",9,"Tyrannus_savana","sanctaemartae","sedentary","taxonomy","97047","Nacho","American Museum of tural History","1899",9,12,"Colombia","","","Ciega de Santa Marta","",11.26688,-74.1925,12.1,6.1,4.9,17.05,NA,NA,177,"Adult","Male","Tyrannus savana sanctaemartae","Tyrannus_savana_sanctaemartae"
"3",10,"Tyrannus_savana","sanctaemartae","sedentary","taxonomy","756490","Nacho","American Museum of tural History","",NA,NA,"Bolivia","","","","",-16.370087,-64.15918,12.2,6,5.1,17.35,NA,NA,194,"Adult","Male","Tyrannus savana sanctaemartae","Tyrannus_savana_sanctaemartae"
"4",11,"Tyrannus_savana","sanctaemartae","sedentary","taxonomy","72558","Nacho","American Museum of tural History","1899",2,22,"Colombia","","","Bonda Santa Marta","",11.26688,-74.1925,12.4,6.3,5.5,17.65,31,97.5,199,"Adult","Male","Tyrannus savana sanctaemartae","Tyrannus_savana_sanctaemartae"
"5",12,"Tyrannus_savana","sanctaemartae","sedentary","taxonomy","72559","Nacho","American Museum of tural History","1899",5,29,"Colombia","Bonda","","Valparaiso, Bonda, Calif.","",1.103078,-75.6265,12.3,6.1,5.3,18.15,NA,NA,226,"Adult","Male","Tyrannus savana sanctaemartae","Tyrannus_savana_sanctaemartae"
"6",13,"Tyrannus_savana","sanctaemartae","sedentary","taxonomy","72554","Nacho","American Museum of tural History","1899",1,28,"Colombia","","","Bonda Santa Marta","",11.26688,-74.1925,11.9,5.8,5.2,17.05,38.1,108.5,234,"Adult","Male","Tyrannus savana sanctaemartae","Tyrannus_savana_sanctaemartae"
"7",14,"Tyrannus_savana","sanctaemartae","sedentary","taxonomy","756498","Nacho","American Museum of tural History","1899",1,23,"Colombia","","","Bonda Santa Marta","",11.26688,-74.1925,11.8,6,5.3,18,38.8,108.5,293,"Adult","Male","Tyrannus savana sanctaemartae","Tyrannus_savana_sanctaemartae"
"8",15,"Tyrannus_savana","sanctaemartae","sedentary","taxonomy","72556","Nacho","American Museum of tural History","1899",1,31,"Colombia","","","Bonda Santa Marta","",11.26688,-74.1925,12.2,5.9,5.4,18.15,38.05,106.5,298,"Adult","Male","Tyrannus savana sanctaemartae","Tyrannus_savana_sanctaemartae"
"9",16,"Tyrannus_savana","sanctaemartae","sedentary","taxonomy","72557","Nacho","American Museum of tural History","1899",2,4,"Colombia","","","Bonda Santa Marta","",11.26688,-74.1925,11.6,6.4,5.4,17.55,36,106.5,291,"Adult","Male","Tyrannus savana sanctaemartae","Tyrannus_savana_sanctaemartae"
"10",17,"Tyrannus_tyrannus","","migratory","taxonomy","47452","Nacho","American Museum of tural History","1889",6,5,"Canada","British Columbia","","Mt. Lehman","",49.11667,-122.383,13.3,7.4,6,18.8,39.35,119,78,"Adult","Male","Tyrannus tyrannus","Tyrannus_tyrannus"
"11",18,"Tyrannus_tyrannus","","migratory","taxonomy","144253","Nacho","American Museum of tural History","1917",4,19,"Nicaragua","","","Matagalpa","2500 feet",12.89675,-85.9355,13.1,7.7,7,18.65,39.8,116,79,"Adult","Male","Tyrannus tyrannus","Tyrannus_tyrannus"
"12",19,"Tyrannus_tyrannus","","migratory","taxonomy","496081","Nacho","American Museum of tural History","1898",8,NA,"Ecuador","","","Gualea-Pipiri","",0.116767,-78.7476,13.8,7.5,5.8,18.25,38.5,113,78,"Adult","Male","Tyrannus tyrannus","Tyrannus_tyrannus"
"13",20,"Tyrannus_tyrannus","","migratory","taxonomy","368967","Nacho","American Museum of tural History","1905",3,25,"United States of America","Florida","Brerard Co. (N)","","",28.26393,-80.7214,13.4,7.8,6.4,18.35,39.5,118,80,"Adult","Male","Tyrannus tyrannus","Tyrannus_tyrannus"
"14",21,"Tyrannus_tyrannus","","migratory","taxonomy","813465","Nacho","American Museum of tural History","1974",5,7,"Guatemala","Santa Rosa Department","","6 km N of La Avellana","",13.91978,-90.469398,14.6,7.8,6.1,18.15,39.85,119.5,80,"Adult","Male","Tyrannus tyrannus","Tyrannus_tyrannus"
"15",22,"Tyrannus_tyrannus","","migratory","taxonomy","42885","Nacho","American Museum of tural History","",NA,NA,"Panama","","","","",9.202648,-79.658057,14.3,7.8,5.8,18.35,42.5,121.5,83,"Adult","Male","Tyrannus tyrannus","Tyrannus_tyrannus"
"16",23,"Tyrannus_tyrannus","","migratory","taxonomy","238422","Nacho","American Museum of tural History","1917",3,24,"Peru","Ucayali","","Sarayacun, R. Ucayali","",-9,-73.5,13.9,7.2,6.2,18.1,40.5,124.5,83,"Adult","Male","Tyrannus tyrannus","Tyrannus_tyrannus"
"17",24,"Tyrannus_tyrannus","","migratory","taxonomy","408047","Nacho","American Museum of tural History","1941",4,22,"Colombia","","","Gorgonilla Island","",2.968333,-78.1844,13.3,6.8,5.8,19.35,41.05,127.5,78,"Adult","Male","Tyrannus tyrannus","Tyrannus_tyrannus"
"18",25,"Tyrannus_tyrannus","","migratory","taxonomy","25635","Nacho","American Museum of tural History","1842",NA,NA,"United States of America","Pennsylvania","","Pennsylvania","",40.8333,-76,14.5,7.4,6.4,18.1,39.75,120.5,78,"Adult","Male","Tyrannus tyrannus","Tyrannus_tyrannus"
"19",26,"Tyrannus_tyrannus","","migratory","taxonomy","12276","Nacho","American Museum of tural History","1919",5,12,"Canada","Ontario","","Coldstream","",43.01917,-81.4997,13.6,7.4,6,18.7,40.3,121.5,81,"Adult","Male","Tyrannus tyrannus","Tyrannus_tyrannus"
"20",681,"Tyrannus_caudifasciatus","bahamensis","sedentary","taxonomy","173676","Nacho","American Museum of tural History","1922",2,7,"Bahamas","","","Nassau","",25.06795,-77.3099,20.5,8.8,7.4,22.45,23.75,107,83,"Adult","Male","Tyrannus caudifasciatus bahamensis","Tyrannus_caudifasciatus_bahamensis"
"21",682,"Tyrannus_caudifasciatus","bahamensis","sedentary","taxonomy","497048","Nacho","American Museum of tural History","1898",3,29,"Bahamas","","","Nassau","",25.06795,-77.3099,21.3,9.8,8,22.45,26.25,112.5,85,"Adult","Male","Tyrannus caudifasciatus bahamensis","Tyrannus_caudifasciatus_bahamensis"
"22",683,"Tyrannus_caudifasciatus","flavescens","sedentary","taxonomy","42645","Nacho","American Museum of tural History","1802",3,NA,"Cuba","","","","",22.086469,-78.859375,19.1,8.8,6.7,22.7,22.85,102.5,80,"Adult","Male","Tyrannus caudifasciatus flavescens","Tyrannus_caudifasciatus_flavescens"
"23",684,"Tyrannus_caudifasciatus","flavescens","sedentary","taxonomy","497011","Nacho","American Museum of tural History","1902",3,14,"Cuba","","","Jorobado, Isle of Pines","",21.66586,-83.0972,19.2,8.4,7.3,23.05,23.25,102.5,82,"Adult","Male","Tyrannus caudifasciatus flavescens","Tyrannus_caudifasciatus_flavescens"
"24",685,"Tyrannus_caudifasciatus","flavescens","sedentary","taxonomy","57123","Nacho","American Museum of tural History","1892",3,28,"Cuba","","","Trinidad","",20.7,-76.5167,21,8.4,7.2,22.95,23.9,103.5,83,"Adult","Male","Tyrannus caudifasciatus flavescens","Tyrannus_caudifasciatus_flavescens"
"25",686,"Tyrannus_caudifasciatus","flavescens","sedentary","taxonomy","399457","Nacho","American Museum of tural History","1925",12,5,"Cuba","Santa Clara","","Basilda","",22.7,-79.883333,19.5,8.2,7.6,23.15,24.6,109,84,"Adult","Male","Tyrannus caudifasciatus flavescens","Tyrannus_caudifasciatus_flavescens"
"26",687,"Tyrannus_caudifasciatus","flavescens","sedentary","taxonomy","57119","Nacho","American Museum of tural History","1892",3,12,"Cuba","","","Trinidad","",20.7,-76.5167,19.4,8.8,6.8,23.35,24.35,108,85,"Adult","Male","Tyrannus caudifasciatus flavescens","Tyrannus_caudifasciatus_flavescens"
"27",688,"Tyrannus_caudifasciatus","flavescens","sedentary","taxonomy","57122","Nacho","American Museum of tural History","1892",3,28,"Cuba","","","Trinidad","",20.7,-76.5167,20.7,8.5,7.4,22.75,24.6,105.5,83,"Adult","Male","Tyrannus caudifasciatus flavescens","Tyrannus_caudifasciatus_flavescens"
"28",689,"Tyrannus_caudifasciatus","flavescens","sedentary","taxonomy","497012","Nacho","American Museum of tural History","1902",3,10,"Cuba","","","Nueva Gerona, Isle of Pines","",21.66586,-83.0972,20.1,8.6,7.3,23.45,24,109.5,86,"Adult","Male","Tyrannus caudifasciatus flavescens","Tyrannus_caudifasciatus_flavescens"
"29",690,"Tyrannus_caudifasciatus","flavescens","sedentary","taxonomy","497005","Nacho","American Museum of tural History","",NA,NA,"Cuba","","","Holguin","",20.70126,-76.3834,19.4,8.5,7.5,23.15,25.05,108,85,"Adult","Male","Tyrannus caudifasciatus flavescens","Tyrannus_caudifasciatus_flavescens"
"30",691,"Tyrannus_caudifasciatus","flavescens","sedentary","taxonomy","399461","Nacho","American Museum of tural History","1922",2,25,"Cuba","","","Guantanamo","",19.91312,-75.1956,20.8,8.4,6.8,22.55,24.2,107,85,"Adult","Male","Tyrannus caudifasciatus flavescens","Tyrannus_caudifasciatus_flavescens"
"31",692,"Tyrannus_caudifasciatus","flavescens","sedentary","taxonomy","57112","Nacho","American Museum of tural History","1892",3,1,"Cuba","","","Trinidad","",20.7,-76.5167,20.6,8.7,7.2,22.4,23.25,107,85,"Adult","Male","Tyrannus caudifasciatus flavescens","Tyrannus_caudifasciatus_flavescens"
"32",693,"Tyrannus_caudifasciatus","flavescens","sedentary","taxonomy","57114","Nacho","American Museum of tural History","1892",3,2,"Cuba","","","Trinidad","",20.7,-76.5167,21.2,8.7,7.4,22.4,23.15,107,86,"Adult","Male","Tyrannus caudifasciatus flavescens","Tyrannus_caudifasciatus_flavescens"
"33",694,"Tyrannus_caudifasciatus","flavescens","sedentary","taxonomy","497015","Nacho","American Museum of tural History","1904",2,11,"Cuba","","","","",22.086469,-78.859375,19.4,8.1,6.9,22.65,24.1,105,87,"Adult","Male","Tyrannus caudifasciatus flavescens","Tyrannus_caudifasciatus_flavescens"
"34",695,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","91526","Nacho","American Museum of tural History","1903",12,24,"Mexico","Sinaloa","","Escuinapa","100 feet",22.83279,-105.778,21.2,12.3,11.3,22.55,38.9,133.5,91,"Adult","Male","Tyrannus crassirostris pompalis","Tyrannus_crassirostris_pompalis"
"35",696,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","104826","Nacho","American Museum of tural History","1905",2,1,"Mexico","Tepic","","Ojo de Agua, near Amatlan de Canas","",20.80699,-104.404,19.3,11.4,10.4,21.3,39.7,132,87,"Adult","Male","Tyrannus crassirostris pompalis","Tyrannus_crassirostris_pompalis"
"36",697,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","104829","Nacho","American Museum of tural History","1905",3,5,"Mexico","Tepic","","Rio Ameca, near Amatlan de Canas","",20.80699,-104.404,18.7,11.2,10,21.75,33.5,124.5,94,"Adult","Male","Tyrannus crassirostris pompalis","Tyrannus_crassirostris_pompalis"
"37",698,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","91531","Nacho","American Museum of tural History","1904",4,2,"Mexico","Sinaloa","","Escuinapa","",22.83279,-105.778,21.2,12.1,11.2,20.9,34.7,125.5,91,"Adult","Male","Tyrannus crassirostris pompalis","Tyrannus_crassirostris_pompalis"
"38",699,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","91525","Nacho","American Museum of tural History","1903",12,22,"Mexico","Sinaloa","","Escuinapa","100 feet",22.83279,-105.778,20.5,12.4,11.1,21.8,33.35,126.5,95,"Adult","Male","Tyrannus crassirostris pompalis","Tyrannus_crassirostris_pompalis"
"39",700,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","104825","Nacho","American Museum of tural History","1905",1,4,"Mexico","Tepic","","Amatlan de Canas","",20.80699,-104.404,18.6,11.6,10.4,21.5,33.55,125.5,96,"Adult","Male","Tyrannus crassirostris pompalis","Tyrannus_crassirostris_pompalis"
"40",701,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","91530","Nacho","American Museum of tural History","1904",3,12,"Mexico","Sinaloa","","Escuinapa","",22.83279,-105.778,20.5,11.8,10,21.2,40.75,130,96,"Adult","Male","Tyrannus crassirostris pompalis","Tyrannus_crassirostris_pompalis"
"41",702,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","496190","Nacho","American Museum of tural History","1891",4,19,"Mexico","Tepic","","La Laguna, Terro Tepic","",28.48333,-106.733,20.2,11,10.8,20.85,41.4,133.5,97,"Adult","Male","Tyrannus crassirostris pompalis","Tyrannus_crassirostris_pompalis"
"42",703,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","802767","Nacho","American Museum of tural History","1971",7,24,"Mexico","Sonora","","3 mi. W Alamos","",30.6301,-110.787,20.5,11.7,10.6,20.8,39.6,131.5,98,"Adult","Male","Tyrannus crassirostris pompalis","Tyrannus_crassirostris_pompalis"
"43",704,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","91524","Nacho","American Museum of tural History","1903",12,20,"Mexico","Sinaloa","","Escuinapa","100 feet",22.83279,-105.778,20.3,11.6,10.9,20.65,43.05,138,98,"Adult","Male","Tyrannus crassirostris pompalis","Tyrannus_crassirostris_pompalis"
"44",705,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","232209","Nacho","American Museum of tural History","1926",5,17,"Peru","","","Puerto India, R’o Amazos","",-2.78333,-70.1167,18.6,9.5,8.1,19.7,34,115.5,92,"Adult","Male","Tyrannus melancholicus melancholicus","Tyrannus_melancholicus_melancholicus"
"45",706,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","256327","Nacho","American Museum of tural History","1925",11,10,"Ecuador","","","Boca, Rio Curaray","",-1.38417,-76.9383,16.7,9,7,18.4,26.45,107.5,86,"Adult","Male","Tyrannus melancholicus melancholicus","Tyrannus_melancholicus_melancholicus"
"46",707,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","240554","Nacho","American Museum of tural History","1927",1,2,"Peru","","","Santa Rosa, Alto Ucayali","",-14.3172,-76.1621,17.7,9.1,7.4,18.35,30.8,118,92,"Adult","Male","Tyrannus melancholicus melancholicus","Tyrannus_melancholicus_melancholicus"
"47",708,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","239428","Nacho","American Museum of tural History","1928",2,13,"Peru","","","Lagarto, Alto Ucayali","",-12.6521,-69.8271,16.5,9.2,7.1,17.45,29.05,111.5,91,"Adult","Male","Tyrannus melancholicus melancholicus","Tyrannus_melancholicus_melancholicus"
"48",709,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","232210","Nacho","American Museum of tural History","1926",6,4,"Peru","","","Puerto India, R’o Amazos","",-2.78333,-70.1167,16.5,8.9,7.2,18.45,28.55,115.5,97,"Adult","Male","Tyrannus melancholicus melancholicus","Tyrannus_melancholicus_melancholicus"
"49",710,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","232208","Nacho","American Museum of tural History","1926",5,25,"Peru","","","Puerto India, R’o Amazos","",-2.78333,-70.1167,17.6,9.8,8.4,18.1,31.05,116.5,96,"Adult","Male","Tyrannus melancholicus melancholicus","Tyrannus_melancholicus_melancholicus"
"50",711,"Tyrannus_savana","circumdatus","sedentary","taxonomy","277197","Nacho","American Museum of tural History","1930",8,10,"Brazil","","","Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank","",-12.1167,-39.4,12.2,6.6,5.5,17.4,32,102,NA,"Adult","Male","Tyrannus savana circumdatus","Tyrannus_savana_circumdatus"
"51",712,"Tyrannus_savana","circumdatus","sedentary","taxonomy","277200","Nacho","American Museum of tural History","1930",8,23,"Brazil","","","Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank","",-12.1167,-39.4,11.8,5.8,5.2,17.6,32.65,100.5,198,"Adult","Male","Tyrannus savana circumdatus","Tyrannus_savana_circumdatus"
"52",713,"Tyrannus_savana","circumdatus","sedentary","taxonomy","287360","Nacho","American Museum of tural History","1931",4,29,"Brazil","","","Tauary, R’o Tapajoz","",-1.11667,-47.0667,12.3,6.6,4.9,17.6,33.9,104,201,"Adult","Male","Tyrannus savana circumdatus","Tyrannus_savana_circumdatus"
"53",714,"Tyrannus_savana","circumdatus","sedentary","taxonomy","277193","Nacho","American Museum of tural History","1930",8,22,"Brazil","","","Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank","",-12.1167,-39.4,12.8,6.3,5.3,17.45,30.55,101,201,"Adult","Male","Tyrannus savana circumdatus","Tyrannus_savana_circumdatus"
"54",715,"Tyrannus_savana","circumdatus","sedentary","taxonomy","277195","Nacho","American Museum of tural History","1930",8,28,"Brazil","","","Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank","",-12.1167,-39.4,12.1,6.4,5.1,17.6,29.8,100,204,"Adult","Male","Tyrannus savana circumdatus","Tyrannus_savana_circumdatus"
"55",716,"Tyrannus_savana","circumdatus","sedentary","taxonomy","287352","Nacho","American Museum of tural History","1931",6,19,"Brazil","","","Igarape Brabo, R’o Tapajoz","",-20.0525,-44.3243,12.8,6.1,5.5,17.25,34.65,103,211,"Adult","Male","Tyrannus savana circumdatus","Tyrannus_savana_circumdatus"
"56",717,"Tyrannus_savana","circumdatus","sedentary","taxonomy","277190","Nacho","American Museum of tural History","1898",8,10,"Brazil","","","Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank","",-12.1167,-39.4,12.5,6.1,4.8,17.5,32.55,103.5,221,"Adult","Male","Tyrannus savana circumdatus","Tyrannus_savana_circumdatus"
"57",718,"Tyrannus_savana","circumdatus","sedentary","taxonomy","287359","Nacho","American Museum of tural History","1931",4,20,"Brazil","","","Tauary, R’o Tapajoz","",-1.11667,-47.0667,11.8,6.4,5.1,17.3,38.5,107.5,222,"Adult","Male","Tyrannus savana circumdatus","Tyrannus_savana_circumdatus"
"58",719,"Tyrannus_savana","circumdatus","sedentary","taxonomy","286358","Nacho","American Museum of tural History","1931",4,19,"Brazil","","","Tauary, R’o Tapajoz","",-1.11667,-47.0667,12.5,5.9,5.4,17.8,37.8,110.5,236,"Adult","Male","Tyrannus savana circumdatus","Tyrannus_savana_circumdatus"
"59",720,"Tyrannus_savana","circumdatus","sedentary","taxonomy","277196","Nacho","American Museum of tural History","1930",8,10,"Brazil","","","Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank","",-12.1167,-39.4,11.8,6.3,5,17.35,29,100,231,"Adult","Male","Tyrannus savana circumdatus","Tyrannus_savana_circumdatus"
"60",721,"Tyrannus_savana","circumdatus","sedentary","taxonomy","277191","Nacho","American Museum of tural History","1930",8,14,"Brazil","","","Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank","",-12.1167,-39.4,13.5,6.5,5.2,17.75,33.7,104.5,243,"Adult","Male","Tyrannus savana circumdatus","Tyrannus_savana_circumdatus"
"61",722,"Tyrannus_savana","circumdatus","sedentary","taxonomy","287351","Nacho","American Museum of tural History","1931",6,8,"Brazil","","","Igarape Brabo, R’o Tapajoz","",-20.0525,-44.3243,12.4,6.4,5.2,17.45,36.25,110,242,"Adult","Male","Tyrannus savana circumdatus","Tyrannus_savana_circumdatus"
"62",723,"Tyrannus_savana","circumdatus","sedentary","taxonomy","287366","Nacho","American Museum of tural History","1931",4,13,"Brazil","","","Tauary, R’o Tapajoz","",-1.11667,-47.0667,12.6,6.5,5.8,17.45,39,110,243,"Adult","Male","Tyrannus savana circumdatus","Tyrannus_savana_circumdatus"
"63",724,"Tyrannus_savana","circumdatus","sedentary","taxonomy","287347","Nacho","American Museum of tural History","1931",6,8,"Brazil","","","Igarape Brabo, R’o Tapajoz","",-20.0525,-44.3243,12,6.7,5,17.45,37.4,109.5,248,"Adult","Male","Tyrannus savana circumdatus","Tyrannus_savana_circumdatus"
"64",725,"Tyrannus_savana","circumdatus","sedentary","taxonomy","496029","Nacho","American Museum of tural History","",NA,NA,"Brazil","","","Espirito Santo","",-6.16667,-60.2167,12.4,6,5,17.7,37.45,106.5,257,"Adult","Male","Tyrannus savana circumdatus","Tyrannus_savana_circumdatus"
"65",726,"Tyrannus_savana","circumdatus","sedentary","taxonomy","287353","Nacho","American Museum of tural History","1931",5,29,"Brazil","","","Igarape Brabo, R’o Tapajoz","",-20.0525,-44.3243,12.1,6.4,5,17.35,39.9,111.5,254,"Adult","Male","Tyrannus savana circumdatus","Tyrannus_savana_circumdatus"
"66",727,"Tyrannus_savana","circumdatus","sedentary","taxonomy","277194","Nacho","American Museum of tural History","1930",8,28,"Brazil","","","Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank","",-12.1167,-39.4,12.7,6.5,5.5,17.95,35.15,105.5,264,"Adult","Male","Tyrannus savana circumdatus","Tyrannus_savana_circumdatus"
"67",728,"Tyrannus_albogularis","","migratory","taxonomy","129407","MM","Smithsonian tiol Museum of tural History","1883",2,24,"Brazil","Mato Grosso","","Chapada","",-15.4167,-55.75,15.535,8.565,NA,16.055,NA,NA,NA,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"68",729,"Tyrannus_albogularis","","migratory","taxonomy","92133","MM","The Field Museum","1932",3,18,"Venezuela","Monagas","","Cocollar","1097m",10.46354,-64.1775,14.195,8.245,6.23,18.54,NA,NA,NA,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"69",730,"Tyrannus_albogularis","","migratory","taxonomy","626111","MM","Smithsonian tiol Museum of tural History","2000",21,3,"Guyana","","","Karaudawa, ~4 km South","500 feet",2.36667,59.45,15.08,8.395,6.505,18.2,NA,NA,NA,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"70",731,"Tyrannus_albogularis","","migratory","taxonomy","295801","MM","The Field Museum","1962",1,17,"Brazil","Goias","","Neropolis, 20 km W Goiania","",-3.82802,-55.4887,15.015,8.29,6.375,17.225,NA,NA,NA,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"71",732,"Tyrannus_albogularis","","migratory","taxonomy","123499","MM","The Field Museum","1941",2,21,"Brazil","Sao Paulo","","Fazenda Varjao, Municipio de Lins","",-21.4833,-46.3833,15.99,8.645,6.845,18.465,NA,NA,NA,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"72",733,"Tyrannus_albogularis","","migratory","taxonomy","626163","MM","Smithsonian tiol Museum of tural History","2000",4,4,"Guyana","","","Parabara Savanh","700-900 feet",2.2,59.36667,14.82,8.21,5.98,15.27,NA,NA,NA,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"73",734,"Tyrannus_albogularis","","migratory","taxonomy","129408","MM","Smithsonian tiol Museum of tural History","1885",8,31,"Brazil","Mato Grosso","","Chapada","",-15.4167,-55.75,14.65,9.095,6.18,18.07,26.86,98.89,87.8,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"74",735,"Tyrannus_albogularis","","migratory","taxonomy","121143","MM","Smithsonian tiol Museum of tural History","1883",6,NA,"Brazil","Para","","Santarem","",-0.95,-46.9833,15.24,8.36,NA,17.765,31.66,105.49,90.68,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"75",736,"Tyrannus_albogularis","","migratory","taxonomy","120112","MM","Louisiana State University Museum of tural Sciences","1984",7,24,"Peru","Loreto","","Isla Pasto, Rio Amazos opposite Aysa, approximately 80 km NE Iquitos","80m",-3.42,-72.5,14.62,8.37,5.655,18.16,29,109.14,92.74,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"76",737,"Tyrannus_albogularis","","migratory","taxonomy","120114","MM","Louisiana State University Museum of tural Sciences","1984",7,26,"Peru","Loreto Dept.","","Isla Pasto, Rio Amazos opposite Aysa, approximately 80 km NE Iquitos","80m",-3.42,-72.5,15.1,8.375,5.775,16.875,28.925,105.5,87.75,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"77",738,"Tyrannus_albogularis","","migratory","taxonomy","335277","MM","The Field Museum","1985",11,8,"Bolivia","Santa Cruz","Nuflo de Chavez","Estancia las Madres, 8 km N Concepcion","500m",-16.05,-62,15.38,8.875,6.575,17.89,30.14,107.97,95.34,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"78",739,"Tyrannus_albogularis","","migratory","taxonomy","151156","MM","Louisiana State University Museum of tural Sciences","1989",9,30,"Bolivia","Santa Cruz","Jose Miguel de Velasco Province","Serran’a de Huanchaca, 45 km E Florida","2379m",-14.57,-60.67,14.15,7.75,6.2,17.5,30.4,108.175,94.7,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"79",740,"Tyrannus_albogularis","","migratory","taxonomy","120109","MM","Louisiana State University Museum of tural Sciences","1984",7,16,"Peru","Loreto Dept.","","Isla Pasto, Rio Amazos opposite Aysa, approximately 80 km NE Iquitos","80m",-3.42,-72.5,14.3,8.2,5.8,17.55,31.525,114.925,95.2,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"80",741,"Tyrannus_albogularis","","migratory","taxonomy","335276","MM","The Field Museum","1985",11,3,"Bolivia","Santa Cruz","Nuflo de Chavez","Estancia las Madres, 8 km N Concepcion","500m",-16.05,-62,15.94,8.965,6.595,17.21,29.315,107.415,93.87,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"81",742,"Tyrannus_albogularis","","migratory","taxonomy","627414","MM","Smithsonian tiol Museum of tural History","2000",11,9,"Guyana","","","Kusad Mountain, NE Flank, South Rupununi Savanh, 2-49N, 59-49 W","150-175m",2.783333,-59.8286,16.315,9.56,6.89,17.83,30.125,106.675,98.72,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"82",743,"Tyrannus_albogularis","","migratory","taxonomy","183872","MM","The Field Museum","1934",8,28,"Brazil","Para","","Santarem","",-2.4359,-54.715599,14.995,8.35,6.305,17.26,31.3,107.735,96.02,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"83",744,"Tyrannus_albogularis","","migratory","taxonomy","295800","MM","The Field Museum","1958",10,20,"Brazil","Goias","","Aragarcas, Rio Araguaia","",-15.8995,-52.2413,16.295,8.66,6.19,17.67,31.015,109.955,99.31,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"84",745,"Tyrannus_albogularis","","migratory","taxonomy","75090","MM","The Field Museum","1929",10,30,"Brazil","Goias","","Veadeiros","",-23.5167,-46.333,16.155,8.38,5.94,18.29,30.135,113.59,105.07,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"85",746,"Tyrannus_albogularis","","migratory","taxonomy","51480","MM","Louisiana State University Museum of tural Sciences","1966",1,12,"Brazil","S‹o Paulo","","Icem; Rio Grande","",-32.0333,-52.0833,15.775,8.35,6.05,16.325,30.6,104.85,97.55,"Adult","Male","Tyrannus albogularis","Tyrannus_albogularis"
"86",747,"Tyrannus_caudifasciatus","bahamensis","sedentary","taxonomy","108548","MM","Smithsonian tiol Museum of tural History","1886",4,2,"Bahamas","Abaco","Marsh Harbour District","","",25.75,-77.8333,19.78,9.825,7.7,22.5,NA,NA,NA,"Adult","Male","Tyrannus caudifasciatus bahamensis","Tyrannus_caudifasciatus_bahamensis"
