"","Row.names","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Kipp.s.Index","Strategy"
"1","Tyrannus_albogularis",0.0574801976007103,0.045828272540472,0.0467936089825532,0.0576784412994342,0.0491582337709896,0.0437546387886066,0.037032204471052,0.0500380523243644,0.036817438109411,"migratory"
"2","Tyrannus_caudifasciatus_bahamensis",NA,0.0512883572790252,0.0459856612126104,0.043313236455092,0.0134651693899253,0.0480677823423303,0.0227119662900449,0.0301983812653876,0.0514087102309299,"sedentary"
"3","Tyrannus_caudifasciatus_caudifasciatus",NA,0.0416374826433423,0.040976230350775,0.0444667348488274,0.0288324573328222,0.0824335867585548,0.0191268809101737,0.0266460320695974,0.0695323342604122,"sedentary"
"4","Tyrannus_caudifasciatus_caymanensis",0.0927335671790682,0.0441643862477448,0.0238727481755336,0.028169419104694,0.0284698603942,0.0884947894341752,0.0245859841246753,0.0367935635665773,0.0704106636787016,"sedentary"
"5","Tyrannus_caudifasciatus_flavescens",NA,0.0389765864335731,0.0262609991513178,0.0420749823688827,0.0155778310691925,0.0285354193253705,0.0226628322141826,0.0232620028457622,0.0248702252278344,"sedentary"
"6","Tyrannus_caudifasciatus_gabbii",NA,0.0364299911032008,0.0466069565614342,0.0472296570262105,0.035425028715876,0.049246537801032,0.035212320530447,0.0309270607115057,0.0402501610377504,"sedentary"
"7","Tyrannus_caudifasciatus_jamaicensis",NA,0.0103792149498938,0.0425726434598396,0.0426495748325211,0.0126947673660814,0.0482423583022847,0.03123600279625,0.0395947141130456,0.026867210937622,"sedentary"
"8","Tyrannus_caudifasciatus_taylori",0.0106210544184309,0.0436572079758527,0.0573733738466092,0.0439243108682082,0.0327686924228009,0.0454548115138559,0.0244162982388018,0.0271344275151504,0.0448370252187554,"sedentary"
"9","Tyrannus_couchii",0.165066442672761,0.0558462339001463,0.0417310742196795,0.043951008325833,0.0320063344507679,0.0916467342631444,0.0520950549895052,0.0568948532556544,0.0571997751665889,"partial"
"10","Tyrannus_crassirostris_crassirostris",NA,0.0446279815568429,0.0516939142045449,0.0390622019988422,0.0458617688808245,0.102521245382474,0.048777921578919,0.0438140588637038,0.0719614277921673,"migratory"
"11","Tyrannus_crassirostris_pompalis",NA,0.0404934313571668,0.0473019230910368,0.0472724776798321,0.0393252628049425,0.0974295437563425,0.0287265423303827,0.0376479593857773,0.0803750343916084,"migratory"
"12","Tyrannus_cubensis",NA,0.0314389693113103,0.0269754848573901,0.0403200853189831,0.0260318357970713,0.0536814260014658,0.0263175343441737,0.0534968123164406,0.034633918470831,"sedentary"
"13","Tyrannus_dominicensis_dominicensis",0.0625603569504475,0.050414553927562,0.0483650229822409,0.0619373003682061,0.0334124915698417,0.0699931181104654,0.0323819346847461,0.040957085141073,0.051079242244854,"migratory"
"14","Tyrannus_dominicensis_vorax",0.0601183903033098,0.0491860178443232,0.0523048644166021,0.0559793789251102,0.0329008699856288,0.0812141957263483,0.034471862417563,0.0380832926942428,0.0555061820762606,"sedentary"
"15","Tyrannus_forficatus",0.143711572074905,0.0354474754513946,0.0457991627440028,0.0427721347564005,0.0376133155621379,0.0873646838118595,0.0315386832557997,0.135418796256811,0.064152658825025,"migratory"
"16","Tyrannus_melancholicus_despotes",NA,0.0422957608143738,0.0505064266025092,0.0587331646060025,0.0518423528630174,0.0750354275966307,0.0284839891233062,0.0315208560120779,0.0592465054469381,"sedentary"
"17","Tyrannus_melancholicus_melancholicus",0.0989128543005235,0.0498390151700714,0.0455152287837362,0.0583809433586073,0.0394564984163226,0.0792823957597495,0.0280549657226706,0.0448940221436076,0.0760840797117419,"partial"
"18","Tyrannus_melancholicus_satrapa",0.110693431588166,0.060518339591132,0.0651065800198536,0.0520417164371912,0.0468261070522082,0.0720993843438399,0.0328130676975691,0.0460510718224815,0.0558703631800519,"partial"
"19","Tyrannus_niveigularis",0.0470628225647845,0.0343528761163266,0.0729347802761536,0.0533218780077521,0.0450441697103178,0.072667569870679,0.0332329891231804,0.0242012303114441,0.0482453165916095,"partial"
"20","Tyrannus_savana_circumdatus",NA,0.0373454214704659,0.0407740150218765,0.0496841870358882,0.019579994964122,0.0962021032554277,0.0377805233520098,0.0953001303787161,0.0632806626303379,"sedentary"
"21","Tyrannus_savana_monachus_CA",0.085263041703912,0.0434688630818377,0.0476158662320973,0.068753084042502,0.0407245611766729,0.0555675268791599,0.0334004012334329,0.100882214415433,0.0438724648196595,"sedentary"
"22","Tyrannus_savana_monachus_SA",NA,0.0478338805814231,0.0652624899557948,0.0600514980124473,0.0363544863587813,0.0407567496836839,0.185758363603218,0.072479275935021,0.194148469623824,"sedentary"
"23","Tyrannus_savana_sanctaemartae",NA,0.021615082128893,0.0305361848052835,0.0371528134114021,0.025086137589108,0.087648092046506,0.0434367364450791,0.204758483851198,0.0487165574490314,"sedentary"
"24","Tyrannus_savana_savana",0.112935702832104,0.0462840189461342,0.0763782213204915,0.0595784328377736,0.0480154004706854,0.0863898276702843,0.0405570093029213,0.136906070363185,0.0567354506599332,"migratory"
"25","Tyrannus_tyrannus",0.119677831128921,0.0414056038572312,0.13577828420575,0.0622714548761248,0.0361016778382857,0.0532084177371118,0.0342898480496249,0.0429513573434575,0.0396028765703834,"migratory"
"26","Tyrannus_verticalis",0.0630937170530638,0.0494208135923122,0.042928062768566,0.0349749559822453,0.0404180099509047,0.0465001200218527,0.0249594344392736,0.0408319065825931,0.0447684154955488,"migratory"
