"","Row.names","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Kipp.s.Index","Strategy"
"1","Tyrannus_albogularis",0.0949506172027204,0.0521770319272821,0.0620657905309286,0.0539176182871095,0.0347847499138717,0.0733531743610333,0.0418096526053624,0.041951476206318,0.0762867359239787,"migratory"
"2","Tyrannus_caudifasciatus_bahamensis",NA,0.0228401202640942,0.0443495188446399,0.0631349115071852,0.0227102487530575,0.0907513734077715,0.0411597243445697,0.0383890005140603,0.0492365432975413,"sedentary"
"3","Tyrannus_caudifasciatus_caudifasciatus",NA,0.0554208836996019,0.0594350616114789,0.0481137586280781,0.0324478761341621,0.0749099029435492,0.0239129835139136,0.0373995613096491,0.0635347547767492,"sedentary"
"4","Tyrannus_caudifasciatus_caymanensis",0.148574965696784,0.0247752822868365,0.0379731875983011,0.0937705880328574,0.0289217451805844,0.0702674196579423,0.00829657887939453,0.0495066956095725,0.0704111351631171,"sedentary"
"5","Tyrannus_caudifasciatus_flavescens",NA,0.025954429687059,0.0250312215844463,0.0194270903993981,0.0163815995660403,0.0633782384147528,0.0318185138438085,0.0355054370864804,0.0513648407789519,"sedentary"
"6","Tyrannus_caudifasciatus_gabbii",NA,0.0356910657243993,0.0444331588604723,0.0617615188076623,0.027817185921547,0.0817775757606039,0.0258021630106103,0.0201131205460826,0.0952496044557337,"sedentary"
"7","Tyrannus_caudifasciatus_jamaicensis",NA,0.0359505912018506,0.0104914901445367,0.0440202432652806,0.0185401636536538,0.00545686743224582,0.0262672248742253,NA,0.020811848993522,"sedentary"
"8","Tyrannus_caudifasciatus_taylori",NA,0.0404914284552694,0.0385054772672091,0.0363805896622835,0.0303006925936053,0.0763453615278681,0.026839543438589,0.0217517469339728,0.0632387325552548,"sedentary"
"9","Tyrannus_couchii",0.155970660888634,0.0555713119890299,0.0483620540874935,0.0538416865604059,0.0439303295644475,0.065094665959675,0.0373441003953404,0.0524832351466249,0.0541181528689691,"partial"
"10","Tyrannus_crassirostris_crassirostris",0.0317768972733825,0.0551380143217694,0.0414529774805567,0.0247282269060997,0.0309419996018583,0.101400038715469,0.039812130554506,0.0369329507989208,0.0722126579900099,"migratory"
"11","Tyrannus_crassirostris_pompalis",NA,0.04167242888491,0.0712602429933817,0.0419405647484963,0.0344535027853368,0.068274860910673,0.0226762115070498,0.031934616603213,0.0535538085616036,"migratory"
"12","Tyrannus_cubensis",NA,0.0265806999470024,0.0341976946137193,0.0398963765625038,0.037946142229635,0.0878179430314992,0.0226631026864101,0.0499780532330714,0.0811542519621972,"sedentary"
"13","Tyrannus_dominicensis_dominicensis",0.078681103633346,0.046787738982083,0.0445196103407879,0.0527660571843267,0.0295591978420068,0.0774551531661113,0.0332257649021616,0.0394261368013225,0.0528307069223833,"migratory"
"14","Tyrannus_dominicensis_vorax",0.0649132103702776,0.0445326467532268,0.0474200095092429,0.0601389133289962,0.0342336985903114,0.059282563033242,0.0295855034825025,0.0309060046911241,0.0469182569964552,"sedentary"
"15","Tyrannus_forficatus",0.104653660217185,0.0527000692618277,0.045530419517049,0.0493204083791008,0.0334602367271064,0.0888655049045909,0.0327112813045429,0.129483195677344,0.0626235876748681,"migratory"
"16","Tyrannus_melancholicus_despotes",NA,0.0618957314820851,0.0608828361667439,0.0633026906484733,0.0611706294332174,0.0208551459380228,0.0298530220021482,0.0256443934192927,0.0367349597321226,"sedentary"
"17","Tyrannus_melancholicus_melancholicus",0.0970223590579501,0.0457502493327083,0.0416075205189755,0.0556865457157737,0.0473542859094274,0.0789827400092726,0.0249949055728863,0.0355147407371862,0.0685192289702332,"partial"
"18","Tyrannus_melancholicus_satrapa",0.14474760938512,0.0564609708551707,0.043056919542779,0.0518771637527179,0.0481777543575189,0.0738101122263083,0.03683312392707,0.0411840940180571,0.0506372507989207,"partial"
"19","Tyrannus_niveigularis",0.12556105931594,0.0290661765175812,0.0443834741383735,0.0598216831301322,0.0473126462694237,0.0822124042295624,0.0359796751132753,0.0261306509930014,0.0565917220859192,"partial"
"20","Tyrannus_savana_circumdatus",NA,0.0650648226349325,0.0590831468541293,0.0427118402899971,0.0249749450068394,0.0678213792651815,0.0191247117583617,0.0858269195154577,0.0612624361248565,"sedentary"
"21","Tyrannus_savana_monachus_CA",0.00799999999999997,0.0368366020969882,0.0383252456773791,0.0487816478268426,0.0383299088186888,0.0617219816108832,0.0270777805490033,0.123546717450171,0.040822539539581,"sedentary"
"22","Tyrannus_savana_monachus_SA",0.0628548188155144,0.058846778538561,0.0733073147774267,0.0616403283434921,0.0262361959780895,0.076312745340146,0.0368756918696446,0.132195968042608,0.0527678388919978,"sedentary"
"23","Tyrannus_savana_sanctaemartae",NA,0.0332174127478963,0.0184260724209455,0.0646359125941886,0.00602799034594449,0.0242944830927387,0.0150753768844221,NA,0.0393738021498816,"sedentary"
"24","Tyrannus_savana_savana",0.131287571057879,0.0409159746614147,0.0725765567029599,0.0751567481550194,0.0685165992180227,0.058917917831537,0.0239392399843758,0.152366775921716,0.0465348240380879,"migratory"
"25","Tyrannus_tyrannus",0.148887449832784,0.0547163340001715,0.0566428968307723,0.0487488604260232,0.0417740361448429,0.0736334704550025,0.0339098770299914,0.0632238981897979,0.0605800682429601,"migratory"
"26","Tyrannus_verticalis",0.0936351445406845,0.0600317467645578,0.048882776367187,0.0396189974099652,0.0364596153574021,0.0645008311651053,0.0338838834308762,0.0340442371685269,0.0483462078089212,"migratory"
