"","X","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Kipp.s.Index","Strategy","CVBillPC1","CVBillPC2","CVBodyPC1","CVBodyPC2"
"Tyrannus_albogularis",1,0.0574801976007103,0.045828272540472,0.0467936089825532,0.0576784412994342,0.0491582337709896,0.0437546387886066,0.037032204471052,0.0500380523243644,0.036817438109411,"migratory",-11.6092120226291,14.3414063575941,5.46967633857041,139.183612150078
"Tyrannus_caudifasciatus_bahamensis",2,NA,0.0512883572790252,0.0459856612126104,0.043313236455092,0.0134651693899253,0.0480677823423303,0.0227119662900449,0.0301983812653876,0.0514087102309299,"sedentary",-13.2351104228505,19.2875199277806,-1.55220515199762,136.456360114328
"Tyrannus_caudifasciatus_caudifasciatus",3,NA,0.0416374826433423,0.040976230350775,0.0444667348488274,0.0288324573328222,0.0824335867585548,0.0191268809101737,0.0266460320695974,0.0695323342604122,"sedentary",-12.6612602703441,18.781275125984,0.97671010287908,134.199270487843
"Tyrannus_caudifasciatus_caymanensis",4,0.0927335671790682,0.0441643862477448,0.0238727481755336,0.028169419104694,0.0284698603942,0.0884947894341752,0.0245859841246753,0.0367935635665773,0.0704106636787016,"sedentary",-13.3883086125074,20.7084725120651,2.766403231721,135.04814934057
"Tyrannus_caudifasciatus_flavescens",5,NA,0.0389765864335731,0.0262609991513178,0.0420749823688827,0.0155778310691925,0.0285354193253705,0.0226628322141826,0.0232620028457622,0.0248702252278344,"sedentary",-12.2308579813097,19.1950499593305,-0.837179509806125,133.744805025681
"Tyrannus_caudifasciatus_gabbii",6,NA,0.0364299911032008,0.0466069565614342,0.0472296570262105,0.035425028715876,0.049246537801032,0.035212320530447,0.0309270607115057,0.0402501610377504,"sedentary",-12.2849700449001,17.3897356537214,-2.62079169167572,130.663943076222
"Tyrannus_caudifasciatus_jamaicensis",7,NA,0.0103792149498938,0.0425726434598396,0.0426495748325211,0.0126947673660814,0.0482423583022847,0.03123600279625,0.0395947141130456,0.026867210937622,"sedentary",-13.1150770349451,20.0791978426685,2.30797670430774,133.083736488355
"Tyrannus_caudifasciatus_taylori",8,0.0106210544184309,0.0436572079758527,0.0573733738466092,0.0439243108682082,0.0327686924228009,0.0454548115138559,0.0244162982388018,0.0271344275151504,0.0448370252187554,"sedentary",-13.8993514494104,19.4636420826902,0.124099709927462,145.942401968743
"Tyrannus_couchii",9,0.165066442672761,0.0558462339001463,0.0417310742196795,0.043951008325833,0.0320063344507679,0.0916467342631444,0.0520950549895052,0.0568948532556544,0.0571997751665889,"partial",-13.8215290882807,15.9613930666484,1.31289221117866,149.171272389445
"Tyrannus_crassirostris_crassirostris",10,NA,0.0446279815568429,0.0516939142045449,0.0390622019988422,0.0458617688808245,0.102521245382474,0.048777921578919,0.0438140588637038,0.0719614277921673,"migratory",-16.9345421450764,19.172855424976,-3.35774262798159,159.257016391866
"Tyrannus_crassirostris_pompalis",11,NA,0.0404934313571668,0.0473019230910368,0.0472724776798321,0.0393252628049425,0.0974295437563425,0.0287265423303827,0.0376479593857773,0.0803750343916084,"migratory",-16.8945030344726,19.545347714367,-5.02953777634555,159.639080642052
"Tyrannus_cubensis",12,NA,0.0314389693113103,0.0269754848573901,0.0403200853189831,0.0260318357970713,0.0536814260014658,0.0263175343441737,0.0534968123164406,0.034633918470831,"sedentary",-19.5769691335027,25.0196009531359,-5.29781490285351,160.514404434049
"Tyrannus_dominicensis_dominicensis",13,0.0625603569504475,0.050414553927562,0.0483650229822409,0.0619373003682061,0.0334124915698417,0.0699931181104654,0.0323819346847461,0.040957085141073,0.051079242244854,"migratory",-15.1560911979877,19.7548183447897,-1.51749171046991,141.15639720124
"Tyrannus_dominicensis_vorax",14,0.0601183903033098,0.0491860178443232,0.0523048644166021,0.0559793789251102,0.0329008699856288,0.0812141957263483,0.034471862417563,0.0380832926942428,0.0555061820762606,"sedentary",-17.0532661706139,21.796783362041,-0.876199910728582,145.333952292019
"Tyrannus_forficatus",15,0.143711572074905,0.0354474754513946,0.0457991627440028,0.0427721347564005,0.0376133155621379,0.0873646838118595,0.0315386832557997,0.135418796256811,0.064152658825025,"migratory",-10.5155374396266,12.993229530717,79.6825653519902,225.493208397779
"Tyrannus_melancholicus_despotes",16,NA,0.0422957608143738,0.0505064266025092,0.0587331646060025,0.0518423528630174,0.0750354275966307,0.0284839891233062,0.0315208560120779,0.0592465054469381,"sedentary",-13.3306710173082,16.7194281275629,3.06625224772213,143.911388056349
"Tyrannus_melancholicus_melancholicus",17,0.0989128543005235,0.0498390151700714,0.0455152287837362,0.0583809433586073,0.0394564984163226,0.0792823957597495,0.0280549657226706,0.0448940221436076,0.0760840797117419,"partial",-13.2757892607136,16.7689637805293,2.12313538006008,146.418646221909
"Tyrannus_melancholicus_satrapa",18,0.110693431588166,0.060518339591132,0.0651065800198536,0.0520417164371912,0.0468261070522082,0.0720993843438399,0.0328130676975691,0.0460510718224815,0.0558703631800519,"partial",-13.4407289999364,16.7659015440183,1.39802544419264,143.434990534797
"Tyrannus_niveigularis",19,0.0470628225647845,0.0343528761163266,0.0729347802761536,0.0533218780077521,0.0450441697103178,0.072667569870679,0.0332329891231804,0.0242012303114441,0.0482453165916095,"partial",-11.4999516485891,13.9094219170272,-3.31093294545973,128.131585311873
