"","Row.names","beta","lambda","logL","resid","BL","BW","BD","KI","WC","TL","y","migration"
"1","Tyrannus_albogularis",12.0871873466471,0.922400766329251,-34.2262605697435,-1.34037682323537,-1.34037682323537,-1.45348311986176,-0.975642035023558,-1.35167192888445,-1.00308947496908,-1.80168549712856,"migratory","migratory"
"2","Tyrannus_caudifasciatus_bahamensis",12.0871873466471,0.922400766329251,-34.2262605697435,1.42057151121729,1.42057151121729,2.82719054821793,2.65575211548087,3.90795338097815,3.76500124014459,3.10856300123071,"sedentary","sedentary"
"3","Tyrannus_caudifasciatus_caudifasciatus",12.0871873466471,0.922400766329251,-34.2262605697435,1.91727408769815,1.91727408769815,3.38801950566812,3.16254487311666,4.16298674645541,4.45672322502067,3.24177890551707,"sedentary","sedentary"
"4","Tyrannus_caudifasciatus_caymanensis",12.0871873466471,0.922400766329251,-34.2262605697435,0.879019804890902,0.879019804890902,2.96437103084209,2.95431729652846,4.31133141736065,4.56026644803931,3.2601738780351,"sedentary","sedentary"
"5","Tyrannus_caudifasciatus_flavescens",0.441810333109467,0.922400766329251,-34.2262605697435,1.94335168117028,1.94335168117028,3.94651688013824,3.49229166977212,4.48205963271466,4.5923483584786,3.52930119688596,"sedentary","sedentary"
"6","Tyrannus_caudifasciatus_gabbii",12.0871873466471,0.922400766329251,-34.2262605697435,0.577920627469808,0.577920627469808,1.65546336666148,1.91790281180004,2.44292066273931,2.85827818760515,1.42302872119694,"sedentary","sedentary"
"7","Tyrannus_caudifasciatus_jamaicensis",0.441810333109467,0.922400766329251,-34.2262605697435,0.825205127805607,0.825205127805607,2.33568792268805,2.4610256530494,3.40660730554311,4.23939985233993,2.35039460434333,"sedentary","sedentary"
"8","Tyrannus_caudifasciatus_taylori",0.441810333109467,0.922400766329251,-34.2262605697435,2.60011892793993,2.60011892793993,3.7653468996336,3.70777774223721,5.27353852282034,4.50363357757037,4.44242793569677,"sedentary","sedentary"
"9","Tyrannus_couchii",12.0871873466471,0.922400766329251,-34.2262605697435,0.0552697437223202,0.0552697437223202,-0.610818891856436,-0.274838692323065,0.541330122883785,-0.201833604791897,0.167478367756981,"partial","partial"
"10","Tyrannus_crassirostris_crassirostris",12.0871873466471,0.922400766329251,-34.2262605697435,-0.405290568997618,-0.405290568997618,-1.46206651704633,-2.05331640803693,0.873845834764772,-0.972624692878078,0.942176512676291,"migratory","migratory"
"11","Tyrannus_crassirostris_pompalis",0.441810333109467,0.922400766329251,-34.2262605697435,-0.377100902107085,-0.377100902107085,-0.941803138677137,-1.97002476455787,1.27391191848088,-0.725242622368135,1.39365290398681,"migratory","migratory"
"12","Tyrannus_cubensis",0.441810333109467,0.922400766329251,-34.2262605697435,-0.749600834141994,-0.749600834141994,0.0418757804623127,-0.860825043039483,3.71962987499371,1.36250844490096,3.59677379347519,"sedentary","sedentary"
"13","Tyrannus_dominicensis_dominicensis",12.0871873466471,0.922400766329251,-34.2262605697435,-2.55638969204664,-2.55638969204664,-2.06834039753505,-2.13614537749376,-0.492224352487803,-0.636720744731498,-0.72146769548155,"migratory","migratory"
"14","Tyrannus_dominicensis_vorax",0.441810333109467,0.922400766329251,-34.2262605697435,-2.8974457015698,-2.8974457015698,-2.66030051314726,-2.3194776894208,0.256826721612217,-0.226981417028234,-0.105774082564071,"sedentary","sedentary"
"15","Tyrannus_forficatus",0.441810333109467,0.922400766329251,-34.2262605697435,1.02210160640868,1.02210160640868,0.852760316313535,0.733935959402206,-0.761166365791702,-1.1214443303141,0.573467298074107,"migratory","migratory"
"16","Tyrannus_melancholicus_despotes",0.441810333109467,0.922400766329251,-34.2262605697435,-2.05955782936028,-2.05955782936028,-1.95078006951381,-1.91466989009337,-1.16343826049063,-0.927479015968455,-1.4606900291304,"sedentary","sedentary"
"17","Tyrannus_melancholicus_melancholicus",12.0871873466471,0.922400766329251,-34.2262605697435,-1.73770438272496,-1.73770438272496,-1.70514103476215,-1.55551390124185,-0.830678731427589,-1.22014096883041,-1.20261957170222,"partial","partial"
"18","Tyrannus_melancholicus_satrapa",12.0871873466471,0.922400766329251,-34.2262605697435,-0.795139726029188,-0.795139726029188,-0.820028756748869,-0.386948720194255,0.307069891555841,-0.0415289091232687,-0.205192295131312,"partial","partial"
"19","Tyrannus_niveigularis",0.441810333109467,0.922400766329251,-34.2262605697435,-0.41296303669407,-0.41296303669407,-0.773483119861758,-0.107245656205659,-0.328359976218053,0.453484697670675,-1.23552850886601,"partial","partial"
"20","Tyrannus_savana_circumdatus",0.441810333109467,0.922400766329251,-34.2262605697435,0.0841274527753662,0.0841274527753662,0.227501126958945,0.155833452376836,-1.54944301126554,-0.55469406418678,-0.804870655780746,"sedentary","sedentary"
"21","Tyrannus_savana_monachus_CA",12.0871873466471,0.922400766329251,-34.2262605697435,0.209192095878119,0.209192095878119,-0.131220803537733,-0.144419750967707,-1.82928838443567,-0.750087874262555,-0.871681048984328,"sedentary","sedentary"
"22","Tyrannus_savana_monachus_SA",0.441810333109467,0.922400766329251,-34.2262605697435,0.151541239316668,0.151541239316668,0.0546816095831133,-0.143153734244994,-1.69765486750013,-0.156146305570164,-0.870448781271747,"sedentary","sedentary"
"23","Tyrannus_savana_sanctaemartae",12.0871873466471,0.922400766329251,-34.2262605697435,0.173416242714922,0.173416242714922,0.391374157811534,0.0663398590659199,-1.69741234479494,-0.615757031092372,-0.775376426482925,"sedentary","sedentary"
