"","Row.names","beta","lambda","logL","resid","BL","BW","BD","KI","WC","TL","y","migration"
"1","Tyrannus_albogularis",12.6251425060357,0.866253389989398,-33.2080781207945,-1.20638613990896,-1.20638613990896,-1.38876539209394,-1.01114215575859,-1.22239248061642,-0.693827718957209,-1.53381992532907,"migratory","migratory"
"2","Tyrannus_caudifasciatus_bahamensis",12.6251425060357,0.866253389989398,-33.2080781207945,1.1423567871716,1.1423567871716,2.6178185470298,2.38516733473004,3.3435560468617,3.34327995410967,2.84310420092333,"sedentary","sedentary"
"3","Tyrannus_caudifasciatus_caudifasciatus",12.6251425060357,0.866253389989398,-33.2080781207945,1.82976901708291,1.82976901708291,3.22056132303596,2.88591166890581,3.74647131256086,4.09989431739623,3.09429950240164,"sedentary","sedentary"
"4","Tyrannus_caudifasciatus_caymanensis",12.6251425060357,0.866253389989398,-33.2080781207945,1.30494455726029,1.30494455726029,3.23315518946485,3.15233022418056,4.1489359643907,4.56351495296182,3.45016734602245,"sedentary","sedentary"
"5","Tyrannus_caudifasciatus_flavescens",0.416583076106007,0.866253389989398,-33.2080781207945,1.36984926402114,1.36984926402114,3.43662088686687,2.93735359520615,3.61481227591523,3.84339745353575,3.03306797966641,"sedentary","sedentary"
"6","Tyrannus_caudifasciatus_gabbii",12.6251425060357,0.866253389989398,-33.2080781207945,0.899708831879231,0.899708831879231,1.80652161381535,2.14811351006565,2.54782214109332,2.72018242112157,1.84676841405305,"sedentary","sedentary"
"7","Tyrannus_caudifasciatus_jamaicensis",0.416583076106007,0.866253389989398,-33.2080781207945,0.607391895207073,0.607391895207073,2.36517504407515,2.34091945924767,3.09744273010208,3.55940341209519,2.4816915719035,"sedentary","sedentary"
"8","Tyrannus_caudifasciatus_taylori",0.416583076106007,0.866253389989398,-33.2080781207945,2.53070851042828,2.53070851042828,3.46134788597519,3.40082597514529,4.87090219607399,3.99719109787987,4.35552222586546,"sedentary","sedentary"
"9","Tyrannus_couchii",12.6251425060357,0.866253389989398,-33.2080781207945,0.059558368870043,0.059558368870043,-0.780360144462939,-0.379856036295553,0.328246319135271,-0.620912079948077,0.306789969857611,"partial","partial"
"10","Tyrannus_crassirostris_crassirostris",12.6251425060357,0.866253389989398,-33.2080781207945,-0.611778950987627,-0.611778950987627,-1.52806409718861,-1.91729937805321,1.02056755213344,-1.03173698040987,1.28200583085389,"migratory","migratory"
"11","Tyrannus_crassirostris_pompalis",0.416583076106007,0.866253389989398,-33.2080781207945,-0.139281458704446,-0.139281458704446,-0.960707600143255,-1.64303592188711,1.37755768695535,-0.913935600466232,1.74211449462464,"migratory","migratory"
"12","Tyrannus_cubensis",0.416583076106007,0.866253389989398,-33.2080781207945,-0.334624115446708,-0.334624115446708,-0.175356952690592,-0.461021048932036,3.89883832568524,1.50181685612356,3.98925301532807,"sedentary","sedentary"
"13","Tyrannus_dominicensis_dominicensis",12.6251425060357,0.866253389989398,-33.2080781207945,-2.20842221229731,-2.20842221229731,-1.90382584186497,-1.77210461950658,-0.23613777117615,-0.590879882671633,-0.232042150649583,"migratory","migratory"
"14","Tyrannus_dominicensis_vorax",0.416583076106007,0.866253389989398,-33.2080781207945,-2.66822159495172,-2.66822159495172,-2.55241563058139,-1.77074059662489,0.38639808353177,-0.314212414511879,0.324474742505291,"sedentary","sedentary"
"15","Tyrannus_forficatus",0.416583076106007,0.866253389989398,-33.2080781207945,0.812634243276545,0.812634243276545,0.714076656963741,0.483168042458701,-0.648982847072737,-0.856835140837145,-0.0385178411145262,"migratory","migratory"
"16","Tyrannus_melancholicus_despotes",0.416583076106007,0.866253389989398,-33.2080781207945,-2.20536639962537,-2.20536639962537,-2.19492422897637,-1.79622784951911,-1.35765338899012,-1.00978297712272,-1.60353015527372,"sedentary","sedentary"
"17","Tyrannus_melancholicus_melancholicus",12.6251425060357,0.866253389989398,-33.2080781207945,-1.50453724582006,-1.50453724582006,-1.49191926532379,-1.3205380477364,-0.766587371969965,-1.14651483983536,-0.913533088364186,"partial","partial"
"18","Tyrannus_melancholicus_satrapa",12.6251425060357,0.866253389989398,-33.2080781207945,-0.628672983979286,-0.628672983979286,-0.745647150372228,-0.216243430202837,0.377939124097608,0.02785020300092,0.111214829382618,"partial","partial"
"19","Tyrannus_niveigularis",0.416583076106007,0.866253389989398,-33.2080781207945,-0.369752909466563,-0.369752909466563,-0.757106998181563,-0.183266093499775,-0.375804140311107,0.13657788419421,-0.9013089262398,"partial","partial"
"20","Tyrannus_savana_circumdatus",0.416583076106007,0.866253389989398,-33.2080781207945,0.0824837802673564,0.0824837802673564,0.29997330619976,0.182595095803965,-1.65424172929542,-0.559006372575585,-1.37993531214402,"sedentary","sedentary"
"21","Tyrannus_savana_monachus_CA",12.6251425060357,0.866253389989398,-33.2080781207945,0.432453687665525,0.432453687665525,0.216245421151328,0.15971124320329,-1.41521314683664,0.0179467948302516,-1.20384134171028,"sedentary","sedentary"
"22","Tyrannus_savana_monachus_SA",0.416583076106007,0.866253389989398,-33.2080781207945,-0.113360419838859,-0.113360419838859,0.00396337889461051,-0.355296547138579,-1.96438413505158,-0.845097633284656,-1.6320361450453,"sedentary","sedentary"
"23","Tyrannus_savana_sanctaemartae",12.6251425060357,0.866253389989398,-33.2080781207945,0.053363088409057,0.053363088409057,0.430958415242035,-0.0260253006306108,-1.53165908138579,-0.288160564517039,-1.12198130107428,"sedentary","sedentary"
