"","X","Species","subspecies","Mig_Sed","HowAssignedMig_Sed","Specimen..","Mass","Measurer","Collection","Collection.Year","Collection.Month","Collection.Day","Country","State.province","County.District","Locality","Elevation","Latitude","Longitude","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Age","Sex","Kipp.s.Index","tip.label"
"453",464,"Tyrannus_melancholicus","melancholicus","partial","location","36258",NA,"MM","Louisiana State University Museum of tural Sciences","1955",6,"10","Bolivia","Santa Cruz","Florida","Angostura","800m",-18.15,-63.52,16.545,10,7.405,18.985,34.075,120.2,90.06,"Adult","Male",28.3485856905158,"Tyrannus_melancholicus_melancholicus"
"455",466,"Tyrannus_caudifasciatus","jamaicensis","sedentary","taxonomy","37628",NA,"MM","Smithsonian tiol Museum of tural History","1865",NA,"","Jamaica","Saint Catherine","","Spanish Town","",18.19824,-77.3556,21.105,9.375,7.14,22.24,23.425,98.66,84.79,"Adult","Male",23.7431583215082,"Tyrannus_caudifasciatus_jamaicensis"
"457",468,"Tyrannus_tyrannus","","migratory","taxonomy","37902",NA,"MM","Louisiana State University Museum of tural Sciences","",NA,"","Bolivia","Santa Cruz","Ichilo Province","Bue Vista","400m",-17.4505556,-63.6508333,14.15,8.345,7.02,18.47,NA,NA,NA,"Adult","Male",NA,"Tyrannus_tyrannus"
"459",470,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","37904",NA,"MM","Louisiana State University Museum of tural Sciences","1918",9,"25","Bolivia","Santa Cruz","Ichilo Province","Bue Vista","400m",-17.4505556,-63.6508333,17.32,10.315,7.975,18.585,30.55,112.995,NA,"Adult","Male",27.0365945395814,"Tyrannus_melancholicus_melancholicus"
"460",471,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","38025",NA,"MM","The Field Museum","1908",3,"25","Dutch West Indies","Curacao","","","",12.1886,-69.0011,19.475,11.175,7.995,18.76,NA,NA,NA,"Adult","Male",NA,"Tyrannus_dominicensis_dominicensis"
"461",472,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","38026",NA,"MM","The Field Museum","1908",3,"28","Dutch West Indies","Curacao","","Deerborne","",12.1886,-69.0011,21.72,11.12,8.185,18.215,33.455,111.315,88.57,"Adult","Male",30.0543502672596,"Tyrannus_dominicensis_dominicensis"
"463",474,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","38028",NA,"MM","The Field Museum","1908",3,"25","Dutch West Indies","Curacao","","","",12.1886,-69.0011,21.465,11.135,7.985,18.57,31.8,111.555,88.64,"Adult","Male",28.5061180583569,"Tyrannus_dominicensis_dominicensis"
"464",475,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","38029",NA,"MM","The Field Museum","1908",3,"28","Dutch West Indies","Curacao","","","",12.1886,-69.0011,20.965,11.455,8.255,17.545,32.735,113.15,95.17,"Adult","Male",28.9306230667256,"Tyrannus_dominicensis_dominicensis"
"465",476,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","38030",NA,"MM","The Field Museum","1908",3,"25","Dutch West Indies","Curacao","","Parabo","",12.1886,-69.0011,21.325,10.455,8.68,19.165,NA,NA,NA,"Adult","Male",NA,"Tyrannus_dominicensis_dominicensis"
"471",482,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","38129",NA,"MM","The Field Museum","1908",5,"1","Dutch West Indies","Aruba","","","",12.5,-69.97,20.55,11.555,8.89,18.53,36.35,118.72,91.61,"Adult","Male",30.6182614555256,"Tyrannus_dominicensis_dominicensis"
"473",484,"Tyrannus_savana","monachus SA","sedentary","taxonomy","38227",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","2010",5,"5","Colombia","Meta","","Carimeta, Puerto Lopez","",4.044256,-72.6573,11.1,6.3,5,NA,NA,115,255,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"476",487,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","38294",NA,"MM","The Field Museum","1908",5,"16","Dutch West Indies","Bonaire","","","",12.19581,-68.259,21.47,11.74,8.16,18.475,32.83,113.98,93.17,"Adult","Male",28.8032988243551,"Tyrannus_dominicensis_dominicensis"
"477",488,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","38295",NA,"MM","The Field Museum","1908",5,"18","Dutch West Indies","Bonaire","","","",12.19581,-68.259,21.09,11.565,8.62,18.315,NA,NA,NA,"Adult","Male",NA,"Tyrannus_dominicensis_dominicensis"
"478",489,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","38296",NA,"MM","The Field Museum","1908",5,"21","Dutch West Indies","Bonaire","","","",12.19581,-68.259,20.36,11.015,7.845,18.205,33.12,115.155,NA,"Adult","Male",28.7612348573662,"Tyrannus_dominicensis_dominicensis"
"479",490,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","38297",NA,"MM","The Field Museum","1908",5,"21","Dutch West Indies","Bonaire","","","",12.19581,-68.259,21.495,11.565,8.375,18.89,NA,NA,NA,"Adult","Male",NA,"Tyrannus_dominicensis_dominicensis"
"480",491,"Tyrannus_savana","monachus SA","sedentary","taxonomy","38745",NA,"MM","Louisiana State University Museum of tural Sciences","1959",6,"24","Colombia","Cauca","Popayan","Popayan","1760m",2.444862,-76.615,11.58,6.54,5.59,16.77,35.225,104.715,NA,"Adult","Male",33.6389247003772,"Tyrannus_savana_monachus_SA"
"481",492,"Tyrannus_tyrannus","","migratory","taxonomy","38747",NA,"MM","Louisiana State University Museum of tural Sciences","",NA,"","Colombia","Cauca","Popayan","Popayan","1760m",2.480618,-76.5911,13.825,8.11,6.925,19.62,NA,NA,NA,"Adult","Male",NA,"Tyrannus_tyrannus"
"484",495,"Tyrannus_melancholicus","satrapa","partial","taxonomy","38750",NA,"MM","Louisiana State University Museum of tural Sciences","1959",11,"3","Colombia","Magdale","","Bonda","100m",11.23404,-74.1254,17.145,8.955,6.905,18.46,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"486",497,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","38942",NA,"MM","The Field Museum","1909",2,"28","Venezuela","Nueva Esparta","Isla de Margarita","La Asuncion","",11.02859,-63.8596,20.56,NA,NA,18.745,31.16,111.87,89.84,"Adult","Male",27.8537588272102,"Tyrannus_dominicensis_dominicensis"
"490",501,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","39946",NA,"MM","The Field Museum","1895",5,"16","United States of America","Florida","Monroe","Key West","",24.556625,-81.779221,22.51,11.085,9.715,17.685,37.63,117.915,NA,"Adult","Male",31.9128185557393,"Tyrannus_dominicensis_dominicensis"
"492",503,"Tyrannus_savana","monachus CA","sedentary","taxonomy","39949",NA,"MM","The Field Museum","1898",7,"4","Guatemala","","","","",15.45879,-90.2072,10.94,NA,NA,17.155,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_CA"
"495",506,"Tyrannus_melancholicus","satrapa","partial","taxonomy","40841",NA,"MM","Louisiana State University Museum of tural Sciences","1937",6,"16","Mexico","Sonora","","Guirocoba Ranch, 32 mi. SE Alamos","",26.70421,-108.581,18.525,10.15,7.4,19,28.85,108.55,85.25,"Adult","Male",26.5776140027637,"Tyrannus_melancholicus_satrapa"
"496",507,"Tyrannus_melancholicus","satrapa","partial","taxonomy","40842",NA,"MM","Louisiana State University Museum of tural Sciences","1960",3,"30","Mexico","Oaxaca","","25 mi. South Tuxtepec","",17.72763,-96.1298,18.85,10.95,7.63,20.23,31.205,116.415,NA,"Adult","Male",26.8049649959198,"Tyrannus_melancholicus_satrapa"
"501",513,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","40849",NA,"MM","Louisiana State University Museum of tural Sciences","1937",5,"27","Mexico","Sonora","","Guirocoba Ranch, 32 mi. SE Alamos","1500 feet",27.3835,-109.088,21.225,13.385,10.515,20.54,37.825,127.485,91.62,"Adult","Male",29.6701572734047,"Tyrannus_crassirostris_pompalis"
"503",515,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","40851",NA,"MM","Louisiana State University Museum of tural Sciences","1950",6,"11","Mexico","Sonora","","Guirocoba Ranch, 32 mi. SE Alamos","",27.3835,-109.088,20.46,12.5,9.925,21.24,NA,NA,NA,"Adult","Male",NA,"Tyrannus_crassirostris_pompalis"
"508",520,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","40856",NA,"MM","Louisiana State University Museum of tural Sciences","1956",3,"19","Mexico","Puebla","","5 mi. N Izucar de Matamoros","4300 feet",18.60151,-98.5392,20.725,12.28,9.975,19.255,37.45,132.82,95.48,"Adult","Male",28.1960548110224,"Tyrannus_crassirostris_pompalis"
"509",521,"Tyrannus_caudifasciatus","flavescens","sedentary","taxonomy","42645",NA,"Nacho","American Museum of tural History","1802",3,"","Cuba","","","","",22.086469,-78.859375,19.1,8.8,6.7,22.7,22.85,102.5,80,"Adult","Male",22.2926829268293,"Tyrannus_caudifasciatus_flavescens"
"511",523,"Tyrannus_tyrannus","","migratory","taxonomy","42797",NA,"MM","Louisiana State University Museum of tural Sciences","",NA,"","Peru","Loreto/Ucayali (from data base)","","Yaricocha","",-8.25,-74.72,14.4,13.13,5.955,18.37,41.41,119.39,80.07,"Adult","Male",34.6846469553564,"Tyrannus_tyrannus"
"513",525,"Tyrannus_tyrannus","","migratory","taxonomy","42885",NA,"Nacho","American Museum of tural History","",NA,"","Panama","","","","",9.202648,-79.658057,14.3,7.8,5.8,18.35,42.5,121.5,83,"Adult","Male",34.9794238683128,"Tyrannus_tyrannus"
"514",526,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","43008",NA,"MM","The Field Museum","1888",4,"3","Cayman Island","Cayman Brac","","","",19.71667,-79.8167,20.26,NA,NA,18.35,33.76,116.21,87.24,"Adult","Male",29.0508562085879,"Tyrannus_dominicensis_dominicensis"
"515",527,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","43009",NA,"MM","The Field Museum","1888",4,"3","Cayman Island","Cayman Brac","","","",19.71667,-79.8167,20.795,11.27,8.91,19.195,36.365,114.385,85.6,"Adult","Male",31.7917559120514,"Tyrannus_dominicensis_dominicensis"
"516",528,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","43010",NA,"MM","The Field Museum","1888",4,"3","Cayman Island","Cayman Brac","","","",19.71667,-79.8167,20.4,11.03,8.8,18.845,32.02,111.56,NA,"Adult","Male",28.7020437432772,"Tyrannus_dominicensis_dominicensis"
"517",529,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","43011",NA,"MM","The Field Museum","1888",4,"27","Cayman Island","Little Cayman","","","",19.68333,-80.05,18.93,10.05,NA,18.345,34.55,110.455,84.12,"Adult","Male",31.2797066678738,"Tyrannus_dominicensis_dominicensis"
"519",531,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","43013",NA,"MM","The Field Museum","1888",7,"6","Cayman Island","Grand Cayman","","","",19.33333,-81.25,20.46,10.895,8.725,18.27,NA,NA,NA,"Adult","Male",NA,"Tyrannus_dominicensis_dominicensis"
"521",533,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","43015",NA,"MM","The Field Museum","1888",8,"2","Cayman Island","Cayman Brac","","","",19.71667,-79.8167,21.295,11.33,8.64,18.83,NA,NA,NA,"Adult","Male",NA,"Tyrannus_dominicensis_dominicensis"
"523",535,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","43017",NA,"MM","The Field Museum","1892",4,"23","Cayman Island","Grand Cayman","","","",19.33333,-81.25,20.695,11.85,NA,19.405,36.48,110.22,83.9,"Adult","Male",33.097441480675,"Tyrannus_dominicensis_dominicensis"
"525",537,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","43019",NA,"MM","The Field Museum","1892",3,"28","Cayman Island","Grand Cayman","","","",19.33333,-81.25,19.275,11.23,NA,18.47,34.41,NA,86.08,"Adult","Male",NA,"Tyrannus_dominicensis_dominicensis"
"527",539,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","43021",NA,"MM","The Field Museum","1886",9,"10","Cayman Island","Little Cayman","","","",19.68333,-80.05,21.715,11.02,8.92,19.39,NA,NA,NA,"Adult","Male",NA,"Tyrannus_dominicensis_dominicensis"
"528",540,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","43022",NA,"MM","The Field Museum","1886",9,"10","Cayman Island","Little Cayman","","","",19.68333,-80.05,21.44,11.11,NA,18.47,NA,NA,NA,"Adult","Male",NA,"Tyrannus_dominicensis_dominicensis"
"530",542,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","43024",NA,"MM","The Field Museum","1892",5,"26","St. Lucia","","","","",13.89817,-60.9863,24.57,13.49,10.67,20.515,NA,NA,NA,"Adult","Male",NA,"Tyrannus_dominicensis_vorax"
"533",545,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","43027",NA,"MM","The Field Museum","1892",6,"3","St. Lucia","","","","",13.89817,-60.9863,24.565,13.855,NA,19.74,31.905,115.93,87.25,"Adult","Male",27.5209177952213,"Tyrannus_dominicensis_vorax"
"534",546,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","43028",NA,"MM","The Field Museum","1892",6,"4","St. Lucia","","","","",13.89817,-60.9863,24.095,13.17,10.28,19.42,31.425,115.7,NA,"Adult","Male",27.1607605877269,"Tyrannus_dominicensis_vorax"
"536",548,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","43031",NA,"MM","The Field Museum","1892",3,"28","St. Lucia","","","","",13.89817,-60.9863,23.585,12.655,9.78,19.82,34.265,120.705,NA,"Adult","Male",28.3873907460337,"Tyrannus_dominicensis_vorax"
"537",549,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","43032",NA,"MM","The Field Museum","1892",3,"29","St. Lucia","","","","",13.89817,-60.9863,23.295,12.495,9.605,19.165,32.475,115.455,NA,"Adult","Male",28.12784201637,"Tyrannus_dominicensis_vorax"
"540",552,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","43036",NA,"MM","The Field Museum","",NA,"","Grenada","","","","",12.11667,-61.6667,23.535,11.97,9.395,18.41,27.175,110.445,89.28,"Adult","Male",24.6050070170673,"Tyrannus_dominicensis_vorax"
"541",553,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","43037",NA,"MM","The Field Museum","",NA,"","Grenada","","","","",12.11667,-61.6667,23.32,12.375,10.13,19.61,28.845,111.935,NA,"Adult","Male",25.769419752535,"Tyrannus_dominicensis_vorax"
"542",554,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","43038",NA,"MM","The Field Museum","1886",2,"20","Guadeloupe","","","","",16.25576,-61.5576,22,12.445,9.055,19.91,33.555,117.425,88.96,"Adult","Male",28.5756866084735,"Tyrannus_dominicensis_vorax"
"544",556,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","43040",NA,"MM","The Field Museum","1886",3,"27","St. Vincent","","","","",13.24939,-61.1923,22.155,12.655,9.43,19.505,NA,NA,NA,"Adult","Male",NA,"Tyrannus_dominicensis_vorax"
"545",557,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","43041",NA,"MM","The Field Museum","1886",3,"28","St. Vincent","","","","",13.24939,-61.1923,23.615,12.635,9.845,20.015,NA,NA,93.11,"Adult","Male",NA,"Tyrannus_dominicensis_vorax"
"546",558,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","43042",NA,"MM","The Field Museum","1886",3,"28","St. Vincent","","","","",13.24939,-61.1923,22.095,12.535,9.55,20.04,30.185,113.62,87.66,"Adult","Male",26.5666255940855,"Tyrannus_dominicensis_vorax"
"549",561,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","43045",NA,"MM","The Field Museum","",NA,"","Dominica","","","","",15.4445,-61.3461,23.975,13.89,NA,19.765,35.025,117.315,93.06,"Adult","Male",29.8555171972893,"Tyrannus_dominicensis_vorax"
"551",563,"Tyrannus_cubensis","","sedentary","taxonomy","43089",NA,"MM","The Field Museum","1891",1,"4","Caicos","","","","",21.77415,-71.8415,25.335,14.11,10.655,22.775,29.695,122.115,84.48,"Adult","Male",24.3172419440691,"Tyrannus_cubensis"
"556",568,"Tyrannus_cubensis","","sedentary","taxonomy","43094",NA,"MM","The Field Museum","",3,"","Cuba","","","","",22.00042,-78.6731,26.835,14.03,12.08,22.035,35.36,132.64,98.02,"Adult","Male",26.6586248492159,"Tyrannus_cubensis"
"559",571,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","43506",NA,"MM","The Field Museum","1911",1,"23","Venezuela","Zulia","","Rio Aurare","",10.61349,-71.4396,21.1,10.5,8.275,17.815,33.955,111.825,81.5,"Adult","Male",30.3644086742678,"Tyrannus_dominicensis_dominicensis"
"563",575,"Tyrannus_savana","monachus SA","sedentary","taxonomy","45216",NA,"MM","The Field Museum","1912",11,"29","Brazil","Roraima","","Boa Vista, Rio Branco","",2.822594,-60.6755,12.235,6.73,4.95,17.335,35.715,105.3,297.542,"Adult","Male",33.9173789173789,"Tyrannus_savana_monachus_SA"
"564",576,"Tyrannus_savana","monachus SA","sedentary","taxonomy","45217",NA,"MM","The Field Museum","1912",11,"29","Brazil","Roraima","","Boa Vista, Rio Branco","",2.822594,-60.6755,13,7.225,5.555,17.285,34.235,102.65,271.206,"Adult","Male",33.351193375548,"Tyrannus_savana_monachus_SA"
"565",577,"Tyrannus_savana","monachus SA","sedentary","taxonomy","45218",NA,"MM","The Field Museum","1912",11,"29","Brazil","Roraima","","Boa Vista, Rio Branco","",2.822594,-60.6755,11.385,6.41,4.94,16.44,36.465,102.59,268.405,"Adult","Male",35.5444000389902,"Tyrannus_savana_monachus_SA"
"567",579,"Tyrannus_savana","monachus SA","sedentary","taxonomy","45220",NA,"MM","The Field Museum","1912",12,"12","Brazil","Roraima","","Boa Vista, Rio Branco","",2.822594,-60.6755,11.72,6.57,5.005,17.86,31.845,98.515,241.435,"Adult","Male",32.3250266456885,"Tyrannus_savana_monachus_SA"
"569",581,"Tyrannus_savana","monachus SA","sedentary","taxonomy","45222",NA,"MM","The Field Museum","1913",1,"28","Brazil","Roraima","","Boa Vista, Rio Branco","",2.822594,-60.6755,12.325,7.015,5.12,17.7,34.78,102.965,301.181,"Adult","Male",33.7784684115962,"Tyrannus_savana_monachus_SA"
"570",582,"Tyrannus_savana","savana","migratory","taxonomy","45284",NA,"MM","The Field Museum","1907",10,"9","Venezuela","Merida","","Merida","1600m",8.5,-71.1667,10.77,6.48,5.46,18.135,41.275,113.35,234.373,"Adult","Male",36.4137626819585,"Tyrannus_savana_savana"
"572",584,"Tyrannus_savana","monachus CA","sedentary","taxonomy","45607",NA,"MM","Louisiana State University Museum of tural Sciences","1960",12,"15","Mexico","Veracruz","","30 miles south of Alvarado","",18.29937,-95.7936,11.255,6.655,5.16,17.59,30.14,100.445,NA,"Adult","Male",30.006471203146,"Tyrannus_savana_monachus_CA"
"574",588,"Tyrannus_tyrannus","","migratory","taxonomy","45612",NA,"MM","Louisiana State University Museum of tural Sciences","",NA,"","Colombia","Cauca","Popayan","Popayan","1760m",2.480618,-76.591089,13.545,8.14,7.125,19.765,NA,NA,NA,"Adult","Male",NA,"Tyrannus_tyrannus"
"575",589,"Tyrannus_vociferans","vociferans","partial","taxonomy","45614",NA,"MM","Louisiana State University Museum of tural Sciences","1958",6,"26","Mexico","Sonora","","Guirocoba Ranch, 32 mi. SE Alamos","",27.3835,-109.088,14.385,8.87,6.61,19.995,33.435,123.35,88.77,"Adult","Male",27.1057965139846,"Tyrannus_vociferans_vociferans"
"576",590,"Tyrannus_vociferans","vociferans","partial","taxonomy","45616",NA,"MM","Louisiana State University Museum of tural Sciences","1937",6,"20","Mexico","Sonora","","Tesia, Mayo River Valley, Rancho Santo Rosa","200 feet",27.16299,-109.376,14.33,8.985,6.915,19.55,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"577",591,"Tyrannus_vociferans","vociferans","partial","taxonomy","45617",NA,"MM","Louisiana State University Museum of tural Sciences","1955",11,"15","Mexico","Guajuato","","5 mi. NW Irapuato","5700 feet",20.6784,-101.347,13.525,8.105,6.605,18.545,35.475,124.33,NA,"Adult","Male",28.5329365398536,"Tyrannus_vociferans_vociferans"
"578",592,"Tyrannus_vociferans","vociferans","partial","taxonomy","45618",NA,"MM","Louisiana State University Museum of tural Sciences","1955",11,"15","Mexico","Guajuato","","5 mi. NW Irapuato","5700 feet",20.6784,-101.347,15.005,8.385,6.655,19,41.185,134.7,94.88,"Adult","Male",30.5753526354863,"Tyrannus_vociferans_vociferans"
"580",594,"Tyrannus_vociferans","vociferans","partial","taxonomy","45620",NA,"MM","Louisiana State University Museum of tural Sciences","1959",11,"17","Mexico","Michoacâ€¡n","","Cumuato","",20.25825,-102.592,15.125,8.685,7,20.085,37.965,128.945,86.89,"Adult","Male",29.4427856838187,"Tyrannus_vociferans_vociferans"
"582",596,"Tyrannus_vociferans","vociferans","partial","taxonomy","45622",NA,"MM","Louisiana State University Museum of tural Sciences","1937",7,"26","Mexico","Oaxaca","","2 mi. W Tamazulapan","6000 feet",16.26994,-96.618,14.9,8.025,6.575,19.435,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"583",597,"Tyrannus_couchii","","partial","taxonomy","45628",NA,"MM","Louisiana State University Museum of tural Sciences","1959",1,"14","Mexico","Colima","","2 km S Colima","",19.23192,-103.727,17.4,9.5,7.1,20.775,31,110.925,88,"Adult","Male",27.9468109082714,"Tyrannus_couchii"
"584",598,"Tyrannus_couchii","","partial","taxonomy","45629",NA,"MM","Louisiana State University Museum of tural Sciences","1959",1,"13","Mexico","Colima","","18 km SE Colima","",19.13502,-103.605,18.575,10.125,NA,19.5,31.775,111.05,88.9,"Adult","Male",28.6132372805043,"Tyrannus_couchii"
"585",599,"Tyrannus_couchii","","partial","taxonomy","45630",NA,"MM","Louisiana State University Museum of tural Sciences","1959",1,"13","Mexico","Colima","","18 km SE Colima","",19.13502,-103.605,17.8,10.075,6.95,19.55,27.7,106.875,85.25,"Adult","Male",25.9181286549708,"Tyrannus_couchii"
"586",600,"Tyrannus_couchii","","partial","taxonomy","45631",NA,"MM","Louisiana State University Museum of tural Sciences","1959",5,"26","Mexico","Colima","","21 mi. E Colima at Rio ranjo","",19.24969,-103.404,17.325,9.55,7.1,19.175,28.05,111.25,91.4,"Adult","Male",25.2134831460674,"Tyrannus_couchii"
"587",601,"Tyrannus_couchii","","partial","taxonomy","45632",NA,"MM","Louisiana State University Museum of tural Sciences","1958",12,"15","Mexico","Colima","","2 km E Coquimatlan","",19.20625,-103.79,18.475,10.6,7.525,19.775,26.9,105.65,85.85,"Adult","Male",25.4614292475154,"Tyrannus_couchii"
"590",606,"Tyrannus_melancholicus","satrapa","partial","taxonomy","45637",NA,"MM","Louisiana State University Museum of tural Sciences","1959",6,"4","Mexico","Morelos","","Acatlipa","",18.82138,-99.2348,18.27,10,7.365,19.215,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"593",610,"Tyrannus_melancholicus","satrapa","partial","taxonomy","45642",NA,"MM","Louisiana State University Museum of tural Sciences","1956",4,"25","Mexico","Oaxaca","","18 mi. N Matias Romero","",17.14269,-95.0463,16.205,9.17,7.235,20.27,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"594",611,"Tyrannus_couchii","","partial","taxonomy","45643",NA,"MM","Louisiana State University Museum of tural Sciences","1960",3,"10","Mexico","Oaxaca","","18 miles north of Metias Romero, forest edge","",17.09807,-95.0628,16.845,NA,NA,20.47,34.96,119.99,NA,"Adult","Male",29.1357613134428,"Tyrannus_couchii"
"595",612,"Tyrannus_melancholicus","satrapa","partial","taxonomy","45645",NA,"MM","Louisiana State University Museum of tural Sciences","1957",7,"14","Mexico","Oaxaca","","Rancho Las Animas, 2 mi. W Nejapa","3000 ft",16.60791,-96.009,17.595,9.68,6.935,19.805,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"599",616,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","45649",NA,"MM","Louisiana State University Museum of tural Sciences","1959",6,"5","Colombia","Cauca","","Tambo","1800m",2.416667,-76.8167,17.365,9.33,7.525,16.785,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_melancholicus"
"602",619,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","45652",NA,"MM","Louisiana State University Museum of tural Sciences","1947",5,"24","Mexico","Sonora","","Guirocoba Ranch, 32 mi. SE Alamos","1475 feet",27.3835,-109.088,21.06,12.64,9.89,20.13,40.7,131.49,98.6,"Adult","Male",30.9529241767435,"Tyrannus_crassirostris_pompalis"
"604",621,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","45654",NA,"MM","Louisiana State University Museum of tural Sciences","1949",5,"23","Mexico","Sonora","","Guirocoba Ranch, 32 mi. SE Alamos","1475 feet",27.3835,-109.088,20.835,12.955,10.695,20.365,40.87,129.925,96.66,"Adult","Male",31.4566095824514,"Tyrannus_crassirostris_pompalis"
"606",623,"Tyrannus_crassirostris","crassirostris","migratory","taxonomy","45656",NA,"MM","Louisiana State University Museum of tural Sciences","1957",8,"2","Mexico","Puebla","","4 mi. N Izucar de Matamoros Pueblo","4350 feet",18.59825,-9.9e+07,18.21,11.685,10.26,19.545,NA,NA,NA,"Adult","Male",NA,"Tyrannus_crassirostris_crassirostris"
"608",625,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","45658",NA,"MM","Louisiana State University Museum of tural Sciences","1958",4,"8","Mexico","Siloa","","river near Elota","",23.93759,-106.754,21.3,12.2,NA,19.725,39.13,130.75,96.16,"Adult","Male",29.9273422562141,"Tyrannus_crassirostris_pompalis"
"609",626,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","45659",NA,"MM","Louisiana State University Museum of tural Sciences","1958",10,"9","Mexico","Colima","","Arroyo Chino, 7 km W Pueblo Juarez","",19.16667,-103.931,19.475,13.175,9.835,19.395,32.475,122.605,92.31,"Adult","Male",26.4875005097671,"Tyrannus_crassirostris_pompalis"
"611",628,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","45661",NA,"MM","Louisiana State University Museum of tural Sciences","1958",10,"4","Mexico","Colima","","Agua Zarca, 6 km N Pueblo Juarez","",19.21492,-103.934,19.665,12.835,10.26,20.67,35.775,127.36,92.07,"Adult","Male",28.0896670854271,"Tyrannus_crassirostris_pompalis"
"613",630,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","45663",NA,"MM","Louisiana State University Museum of tural Sciences","1958",9,"11","Mexico","Colima","","Pueblo Juarez","",19.16667,-103.931,19.625,12.53,10.215,19.925,NA,NA,96.89,"Adult","Male",NA,"Tyrannus_crassirostris_pompalis"
"614",631,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","45664",NA,"MM","Louisiana State University Museum of tural Sciences","1955",11,"5","Mexico","Jalisco","","5 mi. NE Tecolotlan","3500 feet",20.24065,-103.973,20.05,12.015,10.155,19.38,37.775,131.28,100.03,"Adult","Male",28.7743753808653,"Tyrannus_crassirostris_pompalis"
"615",632,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","45665",NA,"MM","Louisiana State University Museum of tural Sciences","1955",10,"27","Mexico","Jalisco","","4 mi. SW La Huerta","1000 feet",19.4844,-104.644,19.685,12.395,9.89,19.54,NA,NA,95.98,"Adult","Male",NA,"Tyrannus_crassirostris_pompalis"
"618",635,"Tyrannus_forficatus","","migratory","taxonomy","47160",NA,"MM","Royal Ontario Museum","1892",3,"16","United States of America","Texas","Cameron County","","",26.12658,-97.5063,13.655,7.795,6.52,18.865,44.985,122.23,209.97,"Adult","Male",36.8035670457335,"Tyrannus_forficatus"
