"","X","Species","subspecies","Mig_Sed","HowAssignedMig_Sed","Specimen..","Mass","Measurer","Collection","Collection.Year","Collection.Month","Collection.Day","Country","State.province","County.District","Locality","Elevation","Latitude","Longitude","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Age","Sex","Kipp.s.Index","tip.label"
"133",137,"Tyrannus_vociferans","vociferans","partial","taxonomy","12380",NA,"MM","The Field Museum","1902",2,"21","Mexico","Guerrero","","Iguala","",18.34928,-99.5394,16.03,8.91,7.115,20.05,44.56,133.51,91.06,"Adult","Male",33.3757770953487,"Tyrannus_vociferans_vociferans"
"137",141,"Tyrannus_vociferans","vociferans","partial","taxonomy","13046",NA,"MM","The Field Museum","1902",6,"14","Mexico","Chihuahua","","Babicora","",29.48049,-108.021,15.04,8.53,6.475,19.905,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"141",145,"Tyrannus_melancholicus","satrapa","partial","taxonomy","13255",NA,"MM","The Field Museum","1893",4,"15","Mexico","Yucatan","","Rio Lagartos","",20.60727,-89.011,18.1,10.22,8.005,19.54,28.675,115.73,NA,"Adult","Male",24.7774993519399,"Tyrannus_melancholicus_satrapa"
"142",146,"Tyrannus_melancholicus","satrapa","partial","taxonomy","13256",NA,"MM","The Field Museum","1893",4,"","Mexico","Yucatan","","","",20.60727,-89.011,18.36,10.235,7.21,19.495,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"144",148,"Tyrannus_melancholicus","satrapa","partial","taxonomy","13258",NA,"MM","The Field Museum","1893",4,"6","Mexico","Yucatan","","Rio Lagartos","",20.60727,-89.011,19.27,10.485,8.37,19.77,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"146",150,"Tyrannus_forficatus","","migratory","taxonomy","13417",NA,"MM","Louisiana State University Museum of tural Sciences","1941",9,"8","United States of America","Texas","Lamb County","Little Field","",30.9833,-97.4,13.585,7.635,NA,19.515,NA,NA,165,"Adult","Male",NA,"Tyrannus_forficatus"
"147",151,"Tyrannus_forficatus","","migratory","taxonomy","13418",NA,"MM","Louisiana State University Museum of tural Sciences","1942",4,"1","United States of America","Texas","Wharton County","El Campo","",4.266553,-73.45,13.845,7.405,6.31,19.79,48.16,123.055,222,"Adult","Male",39.136971273008,"Tyrannus_forficatus"
"153",157,"Tyrannus_couchii","","partial","taxonomy","13425",NA,"MM","Louisiana State University Museum of tural Sciences","1947",4,"4","Mexico","Tamaulipas","","Ciudad Victoria","",23.74174,-99.146,17.365,10.5,7.62,18.885,NA,NA,NA,"Adult","Male",NA,"Tyrannus_couchii"
"154",158,"Tyrannus_melancholicus","satrapa","partial","taxonomy","13426",NA,"MM","Louisiana State University Museum of tural Sciences","1942",4,"11","Mexico","Guerrero","","Acapulco, Lagu de Coyuca","",16.87242,-99.903,17,9.955,6.735,19.515,28.96,113.325,NA,"Adult","Male",25.5548202073682,"Tyrannus_melancholicus_satrapa"
"157",161,"Tyrannus_vociferans","vociferans","partial","taxonomy","13474",NA,"MM","The Field Museum","1902",2,"11","Mexico","Guerrero","","Iguala","",18.34928,-99.5394,14.72,8.145,6.645,20.24,39.06,133.685,92.22,"Adult","Male",29.2179376893444,"Tyrannus_vociferans_vociferans"
"158",162,"Tyrannus_melancholicus","satrapa","partial","taxonomy","13476",NA,"MM","The Field Museum","1902",2,"25","Mexico","Guerrero","","Iguala","",18.34928,-99.5394,18.28,9.98,7.2,18.89,28.78,108.67,NA,"Adult","Male",26.4838501886445,"Tyrannus_melancholicus_satrapa"
"160",164,"Tyrannus_savana","monachus SA","sedentary","taxonomy","13720",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1962",8,"27","Colombia","Meta","","Sabanas de San Juan","",3.369851,-73.8727,11.7,6.1,5.4,NA,NA,106,231,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"161",165,"Tyrannus_savana","monachus SA","sedentary","taxonomy","13865",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1961",9,"10","Colombia","Tolima","","Quebrada, Eimali, Melgar","",4.204748,-74.6407,11.6,5.6,4.9,NA,NA,109,257,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"162",166,"Tyrannus_savana","monachus SA","sedentary","taxonomy","13929",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1961",3,"20","Colombia","Meta","","Cumaral, Chepero","",4.266553,-73.45,10.8,6.1,5.7,NA,NA,105,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"163",167,"Tyrannus_vociferans","vociferans","partial","taxonomy","14246",NA,"MM","The Field Museum","1903",4,"8","United States of America","California","Monterey","Monterey","",36.17572,-121.382,15.53,9.83,7.32,19.545,38.54,122.855,89.06,"Adult","Male",31.3703145985104,"Tyrannus_vociferans_vociferans"
"164",168,"Tyrannus_vociferans","vociferans","partial","taxonomy","14247",NA,"MM","The Field Museum","1903",4,"8","United States of America","California","Monterey","Monterey","",36.17572,-121.382,16.505,9.845,7.875,20.31,34.315,121.865,87.33,"Adult","Male",28.158207852952,"Tyrannus_vociferans_vociferans"
"169",173,"Tyrannus_vociferans","xenopterus","sedentary","taxonomy","14300",NA,"MM","Louisiana State University Museum of tural Sciences","1946",12,"21","Mexico","Guerrero","","Chilpancingo","",17.5506,-99.5058,15.585,8.745,7.115,20.585,42.2,135.135,97.28,"Adult","Male",31.2280312280312,"Tyrannus_vociferans_xenopterus"
